Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,1.166157E+05,1.179441E+05,3.943293E+00,1.144013E+01,9.754377E+04,8.106812E+05,5.034592E+00,4.636720E+01,1.444372E+05,7.666435E+05,4.883910E+00,7.439756E+01,1.031286E+04,2.159219E+05,4.165005E-01,1.519622E+01,5.306772E+04,2.267945E+05,2.130073E+00,1.333910E+01,1.912204E+05,3.028883E+05,9.926049E+00,1.783519E+01,1.664212E+05,7.065728E+05,8.588678E+00,6.172069E+01,8.667767E+05,9.265072E+05,4.470500E+01,8.094468E+01
02:00:00,1.166766E+05,1.169258E+05,3.945422E+00,1.134227E+01,9.757560E+04,7.256943E+05,5.036253E+00,4.166990E+01,1.445593E+05,7.661232E+05,4.888179E+00,7.437400E+01,3.047723E+04,2.167824E+05,1.225626E+00,1.525732E+01,5.909503E+04,2.303634E+05,2.371135E+00,1.355217E+01,0.000000E+00,4.371181E+05,0.000000E+00,2.602316E+01,1.665391E+05,7.059819E+05,8.595108E+00,6.169092E+01,8.676263E+05,9.188746E+05,4.475836E+01,8.030957E+01
03:00:00,1.166612E+05,1.159829E+05,3.944904E+00,1.125220E+01,9.759718E+04,7.773301E+05,5.037367E+00,4.447071E+01,1.445568E+05,7.645516E+05,4.888098E+00,7.427914E+01,4.169408E+04,2.181520E+05,1.675827E+00,1.535463E+01,6.205312E+04,2.328042E+05,2.489815E+00,1.370036E+01,0.000000E+00,5.045377E+05,0.000000E+00,2.973800E+01,1.665377E+05,7.038637E+05,8.595043E+00,6.154967E+01,8.674275E+05,9.113467E+05,4.474827E+01,7.971826E+01
04:00:00,1.166147E+05,1.150910E+05,3.943259E+00,1.116691E+01,9.761410E+04,8.055452E+05,5.038222E+00,4.615316E+01,1.445030E+05,7.627602E+05,4.886135E+00,7.413585E+01,4.593483E+04,2.185797E+05,1.846104E+00,1.538513E+01,6.442142E+04,2.349154E+05,2.584768E+00,1.382774E+01,1.331243E+04,5.265560E+05,5.363126E-01,3.102774E+01,1.664873E+05,7.016766E+05,8.592085E+00,6.138108E+01,8.668112E+05,9.037489E+05,4.470678E+01,7.908602E+01
05:00:00,1.165054E+05,1.143693E+05,3.939537E+00,1.109710E+01,9.762254E+04,8.117599E+05,5.038652E+00,4.655013E+01,1.443506E+05,7.612506E+05,4.880933E+00,7.400268E+01,4.883537E+04,2.191141E+05,1.962658E+00,1.542274E+01,6.649666E+04,2.371172E+05,2.668003E+00,1.395781E+01,3.909053E+04,5.327644E+05,1.568503E+00,3.139124E+01,1.663459E+05,6.998955E+05,8.584667E+00,6.123396E+01,8.658505E+05,8.980032E+05,4.465295E+01,7.859642E+01
06:00:00,1.166991E+05,1.225860E+05,3.946095E+00,1.189124E+01,9.766732E+04,1.175541E+06,5.040965E+00,8.245826E+01,1.446780E+05,7.661540E+05,4.892021E+00,7.438841E+01,1.620858E+05,3.026975E+05,6.831104E+00,2.259787E+01,6.878888E+04,2.472051E+05,2.759956E+00,1.454249E+01,4.652046E+04,5.481847E+05,1.866573E+00,3.226133E+01,1.666540E+05,7.106222E+05,8.600612E+00,6.210304E+01,8.677473E+05,9.113423E+05,4.475347E+01,7.966520E+01
07:00:00,1.166695E+05,1.491811E+05,3.945146E+00,1.447162E+01,9.768424E+04,1.496668E+06,5.041851E+00,1.215844E+02,1.446507E+05,7.783919E+05,4.891200E+00,7.558441E+01,2.384289E+05,4.012457E+05,1.107987E+01,3.155544E+01,7.074478E+04,2.633141E+05,2.838485E+00,1.549145E+01,5.082042E+04,5.798342E+05,2.039105E+00,3.412810E+01,1.666296E+05,7.377282E+05,8.599604E+00,6.447954E+01,8.674683E+05,9.539593E+05,4.474460E+01,8.340302E+01
08:00:00,1.166411E+05,1.694151E+05,3.944167E+00,1.643560E+01,9.770062E+04,1.462647E+06,5.042692E+00,1.260107E+02,1.446247E+05,7.930951E+05,4.890282E+00,7.703256E+01,2.817492E+05,4.808328E+05,1.418291E+01,4.030576E+01,7.258487E+04,2.798941E+05,2.912281E+00,1.646931E+01,5.405571E+04,6.085912E+05,2.168892E+00,3.582890E+01,1.666071E+05,7.617930E+05,8.598341E+00,6.659922E+01,8.671861E+05,1.014739E+06,4.472745E+01,8.874433E+01
09:00:00,1.166690E+05,1.816318E+05,3.945159E+00,1.761920E+01,9.772321E+04,1.434725E+06,5.043869E+00,1.253311E+02,1.446886E+05,8.052373E+05,4.892536E+00,7.817986E+01,2.177099E+05,4.545880E+05,1.123298E+01,3.963219E+01,2.053309E+05,5.083669E+05,8.811925E+00,3.414591E+01,2.153768E+05,8.817570E+05,9.262954E+00,5.962790E+01,1.666691E+05,7.757558E+05,8.601778E+00,6.779334E+01,8.676053E+05,1.073910E+06,4.475590E+01,9.387717E+01
10:00:00,1.166606E+05,1.856886E+05,3.944883E+00,1.801221E+01,9.774064E+04,1.432176E+06,5.044771E+00,1.252494E+02,1.446927E+05,8.146323E+05,4.892689E+00,7.908293E+01,1.995983E+05,4.433843E+05,1.030134E+01,3.871537E+01,3.662881E+05,7.133398E+05,1.825113E+01,5.941482E+01,3.379046E+05,1.089980E+06,1.680422E+01,9.102739E+01,1.666738E+05,7.813453E+05,8.602058E+00,6.827450E+01,8.675078E+05,1.123874E+06,4.475213E+01,9.823162E+01
