Time,1 ZONE VAV:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 1:Des Heat Cap [W],1 ZONE VAV:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 2:Des Heat Cap [W],1 ZONE VAV:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 3:Des Heat Cap [W],1 ZONE VAV:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 3:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 1:Des Heat Cap [W],1 ZONE VAV 1:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 2:Des Heat Cap [W],1 ZONE VAV 1:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 3:Des Heat Cap [W],1 ZONE VAV 1:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 3:Des Tot Cool Cap [W],1 ZONE VAV 2:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV 2:DesPer 1:Des Heat Cap [W],1 ZONE VAV 2:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV 2:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV 2:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV 2:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV 2:DesPer 2:Des Heat Cap [W],1 ZONE VAV 2:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV 2:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV 2:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV 2:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV 2:DesPer 3:Des Heat Cap [W],1 ZONE VAV 2:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV 2:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV 2:DesPer 3:Des Tot Cool Cap [W],1 ZONE VAV 3:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV 3:DesPer 1:Des Heat Cap [W],1 ZONE VAV 3:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV 3:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV 3:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV 3:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV 3:DesPer 2:Des Heat Cap [W],1 ZONE VAV 3:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV 3:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV 3:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV 3:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV 3:DesPer 3:Des Heat Cap [W],1 ZONE VAV 3:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV 3:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV 3:DesPer 3:Des Tot Cool Cap [W],1 ZONE VAV 4:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV 4:DesPer 1:Des Heat Cap [W],1 ZONE VAV 4:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV 4:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV 4:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV 4:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV 4:DesPer 2:Des Heat Cap [W],1 ZONE VAV 4:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV 4:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV 4:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV 4:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV 4:DesPer 3:Des Heat Cap [W],1 ZONE VAV 4:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV 4:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV 4:DesPer 3:Des Tot Cool Cap [W],1 ZONE VAV 5:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV 5:DesPer 1:Des Heat Cap [W],1 ZONE VAV 5:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV 5:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV 5:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV 5:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV 5:DesPer 2:Des Heat Cap [W],1 ZONE VAV 5:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV 5:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV 5:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV 5:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV 5:DesPer 3:Des Heat Cap [W],1 ZONE VAV 5:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV 5:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV 5:DesPer 3:Des Tot Cool Cap [W]
01:00:00,1.238811E+02,0.000000E+00,1.238811E+02,1.162449E+06,2.706619E+06,1.238811E+02,0.000000E+00,1.238811E+02,8.512421E+05,2.820378E+06,1.238811E+02,3.619688E+06,1.238811E+02,0.000000E+00,0.000000E+00,8.848648E+00,0.000000E+00,1.775058E+01,2.075631E+05,3.323667E+05,8.848648E+00,0.000000E+00,1.696296E+01,1.743140E+05,3.328023E+05,8.848648E+00,2.585491E+05,8.848648E+00,0.000000E+00,0.000000E+00,2.575727E+01,0.000000E+00,2.575727E+01,2.416957E+05,5.627584E+05,2.575727E+01,0.000000E+00,2.575727E+01,1.769897E+05,5.864111E+05,2.575727E+01,7.526030E+05,2.575727E+01,0.000000E+00,0.000000E+00,2.923745E+01,0.000000E+00,2.923745E+01,2.743523E+05,6.387953E+05,2.923745E+01,0.000000E+00,2.923745E+01,2.009036E+05,6.656438E+05,2.923745E+01,8.542906E+05,2.923745E+01,0.000000E+00,0.000000E+00,1.903742E+01,0.000000E+00,7.156125E+01,7.706296E+05,1.268498E+06,1.903742E+01,0.000000E+00,7.045016E+01,7.102735E+05,1.277930E+06,1.903742E+01,5.562553E+05,1.903742E+01,0.000000E+00,0.000000E+00,5.375926E+01,0.000000E+00,9.357067E+01,9.530967E+05,1.827656E+06,5.375926E+01,0.000000E+00,8.785204E+01,7.535678E+05,1.814399E+06,5.588125E+01,1.553292E+06,5.375926E+01,0.000000E+00,0.000000E+00
02:00:00,1.238811E+02,0.000000E+00,1.238811E+02,1.116142E+06,2.659168E+06,1.238811E+02,0.000000E+00,1.238811E+02,8.049344E+05,2.664516E+06,1.238811E+02,3.619688E+06,1.238811E+02,0.000000E+00,0.000000E+00,8.848648E+00,0.000000E+00,1.781039E+01,2.050877E+05,3.295791E+05,8.848648E+00,0.000000E+00,1.702097E+01,1.718125E+05,3.220164E+05,8.848648E+00,2.585491E+05,8.848648E+00,0.000000E+00,0.000000E+00,2.575727E+01,0.000000E+00,2.575727E+01,2.320675E+05,5.528924E+05,2.575727E+01,0.000000E+00,2.575727E+01,1.673614E+05,5.540043E+05,2.575727E+01,7.526030E+05,2.575727E+01,0.000000E+00,0.000000E+00,2.923745E+01,0.000000E+00,2.992506E+01,2.747801E+05,6.441492E+05,2.923745E+01,0.000000E+00,2.923745E+01,1.899744E+05,6.288583E+05,2.923745E+01,8.542906E+05,2.923745E+01,0.000000E+00,0.000000E+00,1.903742E+01,0.000000E+00,7.149943E+01,7.626082E+05,1.260252E+06,1.903742E+01,0.000000E+00,7.039264E+01,7.022999E+05,1.252527E+06,1.903742E+01,5.562553E+05,1.903742E+01,0.000000E+00,0.000000E+00,5.375926E+01,0.000000E+00,9.281710E+01,9.243358E+05,1.795296E+06,5.375926E+01,0.000000E+00,8.710939E+01,7.249399E+05,1.732379E+06,5.594795E+01,1.552733E+06,5.375926E+01,0.000000E+00,0.000000E+00
03:00:00,1.238811E+02,0.000000E+00,1.238811E+02,1.081411E+06,2.623581E+06,1.238811E+02,0.000000E+00,1.238811E+02,7.702037E+05,2.549162E+06,1.238811E+02,3.619688E+06,1.238811E+02,0.000000E+00,0.000000E+00,8.848648E+00,0.000000E+00,1.791079E+01,2.040040E+05,3.273684E+05,8.848648E+00,0.000000E+00,1.712078E+01,1.707191E+05,3.133380E+05,8.848648E+00,2.585491E+05,8.848648E+00,0.000000E+00,0.000000E+00,2.575727E+01,0.000000E+00,2.575727E+01,2.248463E+05,5.454933E+05,2.575727E+01,0.000000E+00,2.575727E+01,1.601402E+05,5.300201E+05,2.575727E+01,7.526030E+05,2.575727E+01,0.000000E+00,0.000000E+00,2.923745E+01,0.000000E+00,3.419722E+01,3.380731E+05,7.462808E+05,2.923745E+01,0.000000E+00,3.350507E+01,2.530617E+05,7.125607E+05,2.923745E+01,8.542906E+05,2.923745E+01,0.000000E+00,0.000000E+00,1.903742E+01,0.000000E+00,7.131077E+01,7.547267E+05,1.251910E+06,1.903742E+01,0.000000E+00,7.020387E+01,6.944175E+05,1.230500E+06,1.903742E+01,5.562553E+05,1.903742E+01,0.000000E+00,0.000000E+00,5.375926E+01,0.000000E+00,9.211488E+01,9.009932E+05,1.769536E+06,5.375926E+01,0.000000E+00,8.640203E+01,7.015671E+05,1.666708E+06,5.593534E+01,1.552837E+06,5.375926E+01,0.000000E+00,0.000000E+00
04:00:00,1.238811E+02,0.000000E+00,1.238811E+02,1.046680E+06,2.587993E+06,1.238811E+02,0.000000E+00,1.238811E+02,7.354730E+05,2.435110E+06,1.238811E+02,3.619688E+06,1.238811E+02,0.000000E+00,0.000000E+00,8.848648E+00,0.000000E+00,1.793560E+01,2.018668E+05,3.248587E+05,8.848648E+00,0.000000E+00,1.714317E+01,1.685481E+05,3.046984E+05,8.848648E+00,2.585491E+05,8.848648E+00,0.000000E+00,0.000000E+00,2.575727E+01,0.000000E+00,2.575727E+01,2.176251E+05,5.380937E+05,2.575727E+01,0.000000E+00,2.575727E+01,1.529190E+05,5.063065E+05,2.575727E+01,7.526030E+05,2.575727E+01,0.000000E+00,0.000000E+00,2.923745E+01,0.000000E+00,3.568047E+01,3.546799E+05,7.729231E+05,2.923745E+01,0.000000E+00,3.497134E+01,2.693803E+05,7.207698E+05,2.923745E+01,8.542906E+05,2.923745E+01,0.000000E+00,0.000000E+00,1.903742E+01,0.000000E+00,7.109184E+01,7.467090E+05,1.243058E+06,1.903742E+01,0.000000E+00,6.998464E+01,6.863995E+05,1.208832E+06,1.903742E+01,5.562553E+05,1.903742E+01,0.000000E+00,0.000000E+00,5.375926E+01,0.000000E+00,9.136660E+01,8.773264E+05,1.742432E+06,5.375926E+01,0.000000E+00,8.564466E+01,6.778237E+05,1.602370E+06,5.588348E+01,1.553274E+06,5.375926E+01,0.000000E+00,0.000000E+00
05:00:00,1.238811E+02,0.000000E+00,1.238811E+02,1.023527E+06,2.564269E+06,1.238811E+02,0.000000E+00,1.238811E+02,7.123191E+05,2.359789E+06,1.238811E+02,3.619688E+06,1.238811E+02,0.000000E+00,0.000000E+00,8.848648E+00,0.000000E+00,1.796899E+01,2.006801E+05,3.229903E+05,8.848648E+00,0.000000E+00,1.717448E+01,1.673330E+05,2.983671E+05,8.848648E+00,2.585491E+05,8.848648E+00,0.000000E+00,0.000000E+00,2.575727E+01,0.000000E+00,2.575727E+01,2.128109E+05,5.331611E+05,2.575727E+01,0.000000E+00,2.575727E+01,1.481049E+05,4.906458E+05,2.575727E+01,7.526030E+05,2.575727E+01,0.000000E+00,0.000000E+00,2.923745E+01,0.000000E+00,3.609856E+01,3.562093E+05,7.757936E+05,2.923745E+01,0.000000E+00,3.538913E+01,2.709039E+05,7.114483E+05,2.923745E+01,8.542906E+05,2.923745E+01,0.000000E+00,0.000000E+00,1.903742E+01,0.000000E+00,7.089885E+01,7.408959E+05,1.237004E+06,1.903742E+01,0.000000E+00,6.979095E+01,6.805825E+05,1.193789E+06,1.903742E+01,5.562553E+05,1.903742E+01,0.000000E+00,0.000000E+00,5.375926E+01,0.000000E+00,9.078346E+01,8.606478E+05,1.723776E+06,5.375926E+01,0.000000E+00,8.505157E+01,6.610548E+05,1.557328E+06,5.581619E+01,1.553833E+06,5.375926E+01,0.000000E+00,0.000000E+00
06:00:00,1.238811E+02,0.000000E+00,1.238811E+02,1.046680E+06,2.587993E+06,1.238811E+02,0.000000E+00,1.238811E+02,7.354730E+05,2.435110E+06,1.238811E+02,3.619688E+06,1.238811E+02,0.000000E+00,0.000000E+00,8.848648E+00,0.000000E+00,8.848648E+00,7.476288E+04,1.848566E+05,8.848648E+00,0.000000E+00,8.848648E+00,5.253378E+04,1.739365E+05,8.848648E+00,2.585491E+05,8.848648E+00,0.000000E+00,0.000000E+00,2.575727E+01,0.000000E+00,2.575727E+01,2.176251E+05,5.380937E+05,2.575727E+01,0.000000E+00,2.575727E+01,1.529190E+05,5.063065E+05,2.575727E+01,7.526030E+05,2.575727E+01,0.000000E+00,0.000000E+00,2.923745E+01,0.000000E+00,3.737087E+01,3.828388E+05,8.104228E+05,2.923745E+01,0.000000E+00,3.665483E+01,2.974334E+05,7.584216E+05,2.923745E+01,8.542906E+05,2.923745E+01,0.000000E+00,0.000000E+00,1.903742E+01,0.000000E+00,1.903742E+01,1.608485E+05,3.977097E+05,1.903742E+01,0.000000E+00,1.903742E+01,1.130238E+05,3.742155E+05,1.903742E+01,5.562553E+05,1.903742E+01,0.000000E+00,0.000000E+00,5.375926E+01,0.000000E+00,5.375926E+01,4.542160E+05,1.123082E+06,5.375926E+01,0.000000E+00,5.375926E+01,3.191649E+05,1.056737E+06,5.594184E+01,1.552794E+06,5.375926E+01,0.000000E+00,0.000000E+00
07:00:00,1.238811E+02,0.000000E+00,1.318359E+02,1.223322E+06,2.852425E+06,1.238811E+02,0.000000E+00,1.310568E+02,9.027454E+05,2.867531E+06,1.238811E+02,3.619688E+06,1.238811E+02,0.000000E+00,0.000000E+00,8.848648E+00,0.000000E+00,3.112805E+01,3.653452E+05,5.275280E+05,8.848648E+00,0.000000E+00,2.961378E+01,3.236917E+05,5.120403E+05,1.384984E+01,2.261290E+05,8.848648E+00,0.000000E+00,0.000000E+00,2.575727E+01,0.000000E+00,2.575727E+01,2.344745E+05,5.553589E+05,2.575727E+01,0.000000E+00,2.575727E+01,1.697685E+05,5.620599E+05,2.575727E+01,7.526030E+05,2.575727E+01,0.000000E+00,0.000000E+00,2.923745E+01,0.000000E+00,3.913168E+01,4.316840E+05,8.712243E+05,2.923745E+01,0.000000E+00,3.839794E+01,3.459589E+05,8.634082E+05,2.923745E+01,8.542906E+05,2.923745E+01,0.000000E+00,0.000000E+00,1.903742E+01,0.000000E+00,7.424456E+01,8.319609E+05,1.423150E+06,1.903742E+01,0.000000E+00,7.310878E+01,7.704430E+05,1.417523E+06,1.903742E+01,5.562553E+05,1.903742E+01,0.000000E+00,0.000000E+00,5.375926E+01,0.000000E+00,8.380477E+01,8.481987E+05,1.754338E+06,5.375926E+01,0.000000E+00,7.765421E+01,6.394656E+05,1.670543E+06,5.593076E+01,1.552881E+06,5.375926E+01,0.000000E+00,0.000000E+00
08:00:00,1.238811E+02,0.000000E+00,1.504523E+02,1.626416E+06,3.367522E+06,1.238811E+02,0.000000E+00,1.497555E+02,1.307275E+06,3.868758E+06,1.238811E+02,3.619688E+06,1.238811E+02,0.000000E+00,0.000000E+00,8.848648E+00,0.000000E+00,5.217754E+01,6.038672E+05,8.022016E+05,8.848648E+00,0.000000E+00,5.112694E+01,5.691766E+05,8.346859E+05,1.772864E+01,1.880656E+05,8.848648E+00,0.000000E+00,0.000000E+00,2.575727E+01,0.000000E+00,2.575727E+01,2.753946E+05,5.972888E+05,2.575727E+01,0.000000E+00,2.575727E+01,2.106886E+05,7.038219E+05,2.575727E+01,7.526030E+05,2.575727E+01,0.000000E+00,0.000000E+00,2.923745E+01,0.000000E+00,4.117295E+01,5.122454E+05,9.661493E+05,2.923745E+01,0.000000E+00,4.043117E+01,4.263855E+05,1.073038E+06,2.923745E+01,8.542906E+05,2.923745E+01,0.000000E+00,0.000000E+00,1.903742E+01,0.000000E+00,8.605059E+01,9.632853E+05,1.548185E+06,1.903742E+01,0.000000E+00,8.489597E+01,9.022863E+05,1.621375E+06,1.903742E+01,5.562553E+05,1.903742E+01,0.000000E+00,0.000000E+00,5.375926E+01,0.000000E+00,1.102913E+02,1.215743E+06,2.225925E+06,5.375926E+01,0.000000E+00,1.045566E+02,1.015349E+06,2.405077E+06,5.590931E+01,1.553060E+06,5.375926E+01,0.000000E+00,0.000000E+00
09:00:00,1.238811E+02,0.000000E+00,1.447999E+02,1.780103E+06,3.445451E+06,1.238811E+02,0.000000E+00,1.441136E+02,1.461162E+06,4.411684E+06,1.238811E+02,3.619688E+06,1.238811E+02,0.000000E+00,0.000000E+00,8.848648E+00,0.000000E+00,4.661172E+01,5.368327E+05,7.100170E+05,8.848648E+00,0.000000E+00,4.555629E+01,5.026544E+05,7.783617E+05,1.404122E+01,2.156794E+05,8.848648E+00,0.000000E+00,0.000000E+00,2.575727E+01,0.000000E+00,3.926909E+01,5.161319E+05,9.169864E+05,2.575727E+01,0.000000E+00,3.829223E+01,4.373066E+05,1.108509E+06,2.575727E+01,7.526030E+05,2.575727E+01,0.000000E+00,0.000000E+00,2.923745E+01,0.000000E+00,6.858134E+01,9.333231E+05,1.510269E+06,2.923745E+01,0.000000E+00,6.765420E+01,8.464068E+05,1.736693E+06,2.923745E+01,8.542906E+05,2.923745E+01,0.000000E+00,0.000000E+00,1.903742E+01,0.000000E+00,7.951912E+01,9.189873E+05,1.432816E+06,1.903742E+01,0.000000E+00,7.837931E+01,8.582828E+05,1.582261E+06,1.903742E+01,5.562553E+05,1.903742E+01,0.000000E+00,0.000000E+00,5.375926E+01,0.000000E+00,1.091159E+02,1.293972E+06,2.225469E+06,5.375926E+01,0.000000E+00,1.034362E+02,1.094734E+06,2.635617E+06,5.594488E+01,1.552760E+06,5.375926E+01,0.000000E+00,0.000000E+00
10:00:00,1.238811E+02,0.000000E+00,1.446843E+02,1.975483E+06,3.642379E+06,1.238811E+02,0.000000E+00,1.439931E+02,1.656493E+06,4.609892E+06,1.238811E+02,3.619688E+06,1.238811E+02,0.000000E+00,0.000000E+00,8.848648E+00,0.000000E+00,4.532607E+01,5.356745E+05,7.050051E+05,8.848648E+00,0.000000E+00,4.427607E+01,5.015894E+05,7.754637E+05,1.287668E+01,2.252745E+05,8.848648E+00,0.000000E+00,0.000000E+00,2.575727E+01,0.000000E+00,6.831966E+01,8.596972E+05,1.308926E+06,2.575727E+01,0.000000E+00,6.711097E+01,7.807689E+05,1.512070E+06,2.575727E+01,7.526030E+05,2.575727E+01,0.000000E+00,0.000000E+00,2.923745E+01,0.000000E+00,1.046754E+02,1.296032E+06,1.911004E+06,2.923745E+01,0.000000E+00,1.035271E+02,1.208955E+06,2.144035E+06,2.923745E+01,8.542906E+05,2.923745E+01,0.000000E+00,0.000000E+00,1.903742E+01,0.000000E+00,7.985146E+01,9.528077E+05,1.465319E+06,1.903742E+01,0.000000E+00,7.870944E+01,8.920817E+05,1.616929E+06,1.903742E+01,5.562553E+05,1.903742E+01,0.000000E+00,0.000000E+00,5.375926E+01,0.000000E+00,1.140651E+02,1.434955E+06,2.376805E+06,5.375926E+01,0.000000E+00,1.084302E+02,1.236217E+06,2.801122E+06,5.594016E+01,1.552798E+06,5.375926E+01,0.000000E+00,0.000000E+00
