Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,1.166157E+05,1.179483E+05,3.943293E+00,1.144053E+01,9.754377E+04,8.129094E+05,5.034592E+00,4.649960E+01,1.444372E+05,7.718254E+05,4.883910E+00,7.490039E+01,1.031286E+04,2.193189E+05,4.165005E-01,1.543529E+01,5.306772E+04,2.267611E+05,2.130073E+00,1.333713E+01,1.912204E+05,3.028685E+05,9.926049E+00,1.783398E+01,1.664212E+05,7.123714E+05,8.588678E+00,6.222717E+01,8.667767E+05,9.313272E+05,4.470500E+01,8.136580E+01
02:00:00,1.166766E+05,1.169296E+05,3.945422E+00,1.134264E+01,9.757560E+04,7.281629E+05,5.036253E+00,4.181156E+01,1.445593E+05,7.710657E+05,4.888179E+00,7.485365E+01,3.047723E+04,2.200500E+05,1.225626E+00,1.548730E+01,5.909503E+04,2.303332E+05,2.371135E+00,1.355040E+01,0.000000E+00,4.370952E+05,0.000000E+00,2.602180E+01,1.665391E+05,7.115050E+05,8.595108E+00,6.217342E+01,8.676263E+05,9.234629E+05,4.475836E+01,8.071052E+01
03:00:00,1.166612E+05,1.159864E+05,3.944904E+00,1.125254E+01,9.759718E+04,7.797276E+05,5.037367E+00,4.460771E+01,1.445568E+05,7.692632E+05,4.888098E+00,7.473656E+01,4.169408E+04,2.212775E+05,1.675827E+00,1.557460E+01,6.205312E+04,2.327757E+05,2.489815E+00,1.369868E+01,0.000000E+00,5.045160E+05,0.000000E+00,2.973672E+01,1.665377E+05,7.091232E+05,8.595043E+00,6.200936E+01,8.674275E+05,9.157114E+05,4.474827E+01,8.009990E+01
04:00:00,1.166147E+05,1.150942E+05,3.943259E+00,1.116722E+01,9.761410E+04,8.078438E+05,5.038222E+00,4.628453E+01,1.445030E+05,7.672528E+05,4.886135E+00,7.457207E+01,4.593483E+04,2.215782E+05,1.846104E+00,1.559617E+01,6.442142E+04,2.348880E+05,2.584768E+00,1.382613E+01,1.331243E+04,5.265349E+05,5.363126E-01,3.102650E+01,1.664873E+05,7.066861E+05,8.592085E+00,6.181899E+01,8.668112E+05,9.079016E+05,4.470678E+01,7.944922E+01
05:00:00,1.165054E+05,1.143723E+05,3.939537E+00,1.109739E+01,9.762254E+04,8.139558E+05,5.038652E+00,4.667561E+01,1.443506E+05,7.655355E+05,4.880933E+00,7.441878E+01,4.883537E+04,2.219908E+05,1.962658E+00,1.562521E+01,6.649666E+04,2.370909E+05,2.668003E+00,1.395627E+01,3.909053E+04,5.327443E+05,1.568503E+00,3.139006E+01,1.663459E+05,7.046676E+05,8.584667E+00,6.165117E+01,8.658505E+05,9.019555E+05,4.465295E+01,7.894214E+01
06:00:00,1.166991E+05,0.000000E+00,3.946095E+00,0.000000E+00,9.766732E+04,8.715448E+05,5.040965E+00,5.132812E+01,1.446780E+05,3.477758E+05,4.892021E+00,2.209583E+01,1.620858E+05,6.554650E+04,6.831104E+00,3.867987E+00,6.878888E+04,2.498055E+05,2.759956E+00,1.472575E+01,4.652046E+04,5.511381E+05,1.866573E+00,3.249641E+01,1.666540E+05,2.716803E+05,8.600612E+00,1.603492E+01,8.677473E+05,3.981958E+05,4.475347E+01,2.362300E+01
07:00:00,1.166695E+05,2.671046E+05,3.945146E+00,2.438711E+01,9.768424E+04,1.418603E+06,5.041851E+00,1.146399E+02,1.446507E+05,6.674901E+05,4.891200E+00,5.840211E+01,2.384289E+05,3.710375E+05,1.107987E+01,2.706787E+01,7.074478E+04,2.623021E+05,2.838485E+00,1.543202E+01,5.082042E+04,5.782172E+05,2.039105E+00,3.402754E+01,1.666296E+05,8.054687E+05,8.599604E+00,6.456048E+01,8.674683E+05,9.063635E+05,4.474460E+01,7.287371E+01
08:00:00,1.166411E+05,1.944093E+05,3.944167E+00,1.882665E+01,9.770062E+04,1.509963E+06,5.042692E+00,1.308281E+02,1.446247E+05,8.794266E+05,4.890282E+00,8.476247E+01,2.817492E+05,5.433935E+05,1.418291E+01,4.537178E+01,7.258487E+04,2.794857E+05,2.912281E+00,1.644357E+01,5.405571E+04,6.082627E+05,2.168892E+00,3.580257E+01,1.666071E+05,8.618339E+05,8.598341E+00,7.482660E+01,8.671861E+05,1.104632E+06,4.472745E+01,9.590544E+01
09:00:00,1.166690E+05,1.850029E+05,3.945159E+00,1.794561E+01,9.772321E+04,1.440471E+06,5.043869E+00,1.259130E+02,1.446886E+05,8.194836E+05,4.892536E+00,7.953269E+01,2.177099E+05,4.650117E+05,1.123298E+01,4.053193E+01,2.053309E+05,5.083870E+05,8.811925E+00,3.414703E+01,2.153768E+05,8.818870E+05,9.262954E+00,5.963595E+01,1.666691E+05,7.915386E+05,8.601778E+00,6.914707E+01,8.676053E+05,1.085886E+06,4.475590E+01,9.488339E+01
10:00:00,1.166606E+05,1.869346E+05,3.944883E+00,1.813304E+01,9.774064E+04,1.438545E+06,5.044771E+00,1.258125E+02,1.446927E+05,8.263014E+05,4.892689E+00,8.021499E+01,1.995983E+05,4.513869E+05,1.030134E+01,3.941397E+01,3.662881E+05,7.132639E+05,1.825113E+01,5.940840E+01,3.379046E+05,1.089917E+06,1.680422E+01,9.102205E+01,1.666738E+05,7.946495E+05,8.602058E+00,6.943605E+01,8.675078E+05,1.134824E+06,4.475213E+01,9.918703E+01
