Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,1.109995E+04,1.766985E+03,3.846237E-01,1.648800E-01,1.693379E+04,5.599686E+03,5.866020E-01,5.225833E-01,4.062320E+04,1.801232E+04,1.406238E+00,1.681903E+00
02:00:00,1.143619E+04,1.209427E+03,3.962757E-01,1.128491E-01,1.739542E+04,4.531246E+03,6.025906E-01,4.228646E-01,4.089390E+04,1.676193E+04,1.415607E+00,1.565146E+00
03:00:00,1.158711E+04,8.882662E+02,4.015069E-01,8.288001E-02,1.768464E+04,3.769997E+03,6.126150E-01,3.518228E-01,4.106329E+04,1.584365E+04,1.421478E+00,1.479409E+00
04:00:00,1.166475E+04,6.775675E+02,4.041987E-01,6.321995E-02,1.788154E+04,3.190856E+03,6.194415E-01,2.977768E-01,4.117468E+04,1.508312E+04,1.425341E+00,1.408403E+00
05:00:00,1.153129E+04,6.977850E+02,3.995755E-01,6.510585E-02,1.783881E+04,2.927346E+03,6.179654E-01,2.731856E-01,4.113681E+04,1.464410E+04,1.424033E+00,1.367410E+00
06:00:00,1.099318E+04,2.405314E+03,3.809301E-01,2.244266E-01,1.736201E+04,4.497731E+03,6.014525E-01,4.197428E-01,4.082974E+04,1.644260E+04,1.413408E+00,1.535357E+00
07:00:00,1.033937E+04,4.685968E+03,3.582754E-01,4.373024E-01,1.673258E+04,8.029724E+03,5.796537E-01,7.494917E-01,4.043653E+04,2.055067E+04,1.399806E+00,1.919162E+00
08:00:00,1.004969E+04,8.109321E+03,3.482384E-01,7.570687E-01,1.642319E+04,1.250286E+04,5.689406E-01,1.167316E+00,4.024200E+04,2.618649E+04,1.393080E+00,2.445824E+00
09:00:00,1.101175E+04,1.029692E+04,3.815755E-01,9.614005E-01,1.736075E+04,1.570809E+04,6.014205E-01,1.466764E+00,4.083156E+04,3.107283E+04,1.413488E+00,2.902493E+00
10:00:00,1.139295E+04,1.178924E+04,3.947827E-01,1.100591E+00,1.770835E+04,1.844631E+04,6.134478E-01,1.722264E+00,4.104928E+04,3.518021E+04,1.420998E+00,3.286101E+00
11:00:00,1.135524E+04,1.237770E+04,3.934726E-01,1.155288E+00,1.767807E+04,2.012163E+04,6.123895E-01,1.878344E+00,4.102763E+04,3.796865E+04,1.420236E+00,3.546318E+00
12:00:00,1.131645E+04,1.190675E+04,3.921244E-01,1.111132E+00,1.765498E+04,2.042819E+04,6.115850E-01,1.906691E+00,4.101097E+04,3.907199E+04,1.419658E+00,3.649122E+00
13:00:00,1.135706E+04,1.170179E+04,3.935277E-01,1.091900E+00,1.771089E+04,2.074676E+04,6.135188E-01,1.936286E+00,4.104425E+04,4.008387E+04,1.420811E+00,3.743419E+00
14:00:00,1.149668E+04,1.183395E+04,3.983630E-01,1.104202E+00,1.786424E+04,2.119753E+04,6.188293E-01,1.978319E+00,4.113859E+04,4.106231E+04,1.424076E+00,3.834704E+00
15:00:00,1.156016E+04,1.178963E+04,4.005610E-01,1.100068E+00,1.793895E+04,2.132686E+04,6.214151E-01,1.990387E+00,4.118366E+04,4.132960E+04,1.425633E+00,3.859635E+00
16:00:00,1.132250E+04,1.193216E+04,3.923249E-01,1.113368E+00,1.770942E+04,2.155742E+04,6.134640E-01,2.011895E+00,4.103730E+04,4.110062E+04,1.420566E+00,3.838198E+00
17:00:00,1.036798E+04,1.317488E+04,3.592510E-01,1.229324E+00,1.674037E+04,2.291266E+04,5.798985E-01,2.138369E+00,4.043341E+04,4.148701E+04,1.399668E+00,3.874222E+00
18:00:00,8.686352E+03,1.448504E+04,3.009840E-01,1.351581E+00,1.500535E+04,2.428874E+04,5.198049E-01,2.266817E+00,3.934977E+04,4.140094E+04,1.362172E+00,3.866188E+00
19:00:00,7.573370E+03,1.327897E+04,2.624215E-01,1.239051E+00,1.379161E+04,2.286032E+04,4.777717E-01,2.133523E+00,3.859863E+04,3.830515E+04,1.336193E+00,3.577080E+00
20:00:00,7.528792E+03,8.581501E+03,2.608786E-01,8.007305E-01,1.360508E+04,1.746627E+04,4.713164E-01,1.630079E+00,3.849729E+04,3.185316E+04,1.332693E+00,2.974447E+00
21:00:00,7.648847E+03,6.317997E+03,2.650392E-01,5.895150E-01,1.357557E+04,1.434090E+04,4.702916E-01,1.338345E+00,3.849183E+04,2.791495E+04,1.332496E+00,2.606507E+00
22:00:00,7.982869E+03,5.166330E+03,2.766140E-01,4.820614E-01,1.379304E+04,1.206178E+04,4.778226E-01,1.125653E+00,3.864895E+04,2.499976E+04,1.337928E+00,2.334309E+00
23:00:00,9.117829E+03,3.829756E+03,3.159418E-01,3.573554E-01,1.486084E+04,9.575258E+03,5.148093E-01,8.936136E-01,3.933355E+04,2.230489E+04,1.361619E+00,2.082719E+00
24:00:00,1.019411E+04,2.763716E+03,3.532352E-01,2.578869E-01,1.594304E+04,7.409940E+03,5.522878E-01,6.915331E-01,4.001277E+04,1.995498E+04,1.385116E+00,1.863306E+00
Peak,1.166475E+04,1.448504E+04,4.041987E-01,1.351581E+00,1.793895E+04,2.428874E+04,6.214151E-01,2.266817E+00,4.118366E+04,4.148701E+04,1.425633E+00,3.874222E+00

Peak Vol Flow (m3/s),,,3.443138E-01,1.151335E+00,,,5.293481E-01,1.930972E+00,,,1.214416E+00,3.300228E+00
