Time,1 ZONE VAV:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 1:Des Heat Cap [W],1 ZONE VAV:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 2:Des Heat Cap [W],1 ZONE VAV:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 3:Des Heat Cap [W],1 ZONE VAV:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 3:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 1:Des Heat Cap [W],1 ZONE VAV 1:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 2:Des Heat Cap [W],1 ZONE VAV 1:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 3:Des Heat Cap [W],1 ZONE VAV 1:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 3:Des Tot Cool Cap [W],1 ZONE VAV 2:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV 2:DesPer 1:Des Heat Cap [W],1 ZONE VAV 2:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV 2:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV 2:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV 2:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV 2:DesPer 2:Des Heat Cap [W],1 ZONE VAV 2:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV 2:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV 2:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV 2:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV 2:DesPer 3:Des Heat Cap [W],1 ZONE VAV 2:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV 2:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV 2:DesPer 3:Des Tot Cool Cap [W]
01:00:00,2.073266E+01,0.000000E+00,2.073266E+01,1.945468E+05,4.529781E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.424634E+05,4.720168E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.073266E+01,1.945468E+05,4.529781E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.424634E+05,4.720168E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.073266E+01,1.945468E+05,4.529781E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.424634E+05,4.720168E+05,2.577396E+01,5.636512E+05,2.073266E+01,0.000000E+00,0.000000E+00
02:00:00,2.073266E+01,0.000000E+00,2.073266E+01,1.867968E+05,4.450367E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.347133E+05,4.459317E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.073266E+01,1.867968E+05,4.450367E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.347133E+05,4.459317E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.073266E+01,1.867968E+05,4.450367E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.347133E+05,4.459317E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00
03:00:00,2.073266E+01,0.000000E+00,2.073266E+01,1.809843E+05,4.390810E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.289008E+05,4.266263E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.073266E+01,1.809843E+05,4.390810E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.289008E+05,4.266263E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.073266E+01,1.809843E+05,4.390810E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.289008E+05,4.266263E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00
04:00:00,2.073266E+01,0.000000E+00,2.073266E+01,1.751718E+05,4.331249E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.230883E+05,4.075386E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.073266E+01,1.751718E+05,4.331249E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.230883E+05,4.075386E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.073266E+01,1.751718E+05,4.331249E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.230883E+05,4.075386E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00
05:00:00,2.073266E+01,0.000000E+00,2.073266E+01,1.712968E+05,4.291546E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.192133E+05,3.949329E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.073266E+01,1.712968E+05,4.291546E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.192133E+05,3.949329E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.073266E+01,1.712968E+05,4.291546E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.192133E+05,3.949329E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00
06:00:00,2.073266E+01,0.000000E+00,2.073266E+01,1.751718E+05,4.331249E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.230883E+05,4.075386E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.073266E+01,1.751718E+05,4.331249E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.230883E+05,4.075386E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.155166E+01,1.888660E+05,4.533423E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.230883E+05,4.075386E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00
07:00:00,2.073266E+01,0.000000E+00,2.073266E+01,1.887343E+05,4.470221E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.366508E+05,4.524159E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.073266E+01,1.887343E+05,4.470221E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.366508E+05,4.524159E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.443568E+01,2.506496E+05,5.369010E+05,2.073266E+01,0.000000E+00,2.201638E+01,1.581140E+05,4.849334E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00
08:00:00,2.073266E+01,0.000000E+00,2.073266E+01,2.216719E+05,4.807725E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.695884E+05,5.665236E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.073266E+01,2.216719E+05,4.807725E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.695884E+05,5.665236E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.759803E+01,3.364554E+05,6.437150E+05,2.073266E+01,0.000000E+00,2.517071E+01,2.437849E+05,6.775149E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00
09:00:00,2.073266E+01,0.000000E+00,2.073266E+01,2.584845E+05,5.184932E+05,2.073266E+01,0.000000E+00,2.073266E+01,2.064010E+05,6.819231E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,3.170621E+01,4.161699E+05,7.367675E+05,2.073266E+01,0.000000E+00,3.108594E+01,3.551615E+05,8.929107E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,5.129905E+01,6.981999E+05,1.098875E+06,2.073266E+01,0.000000E+00,4.830392E+01,6.028590E+05,1.257682E+06,2.321162E+01,5.928626E+05,2.073266E+01,0.000000E+00,0.000000E+00
10:00:00,2.073266E+01,0.000000E+00,3.109669E+01,4.121795E+05,7.718520E+05,2.073266E+01,0.000000E+00,3.063305E+01,3.546780E+05,9.301104E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,5.875034E+01,7.362202E+05,1.107059E+06,2.073266E+01,0.000000E+00,5.796070E+01,6.748324E+05,1.270083E+06,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,8.327787E+01,1.025032E+06,1.464583E+06,2.073266E+01,0.000000E+00,7.962599E+01,9.295739E+05,1.655515E+06,3.680224E+01,4.781900E+05,2.073266E+01,0.000000E+00,0.000000E+00
