Time,1 ZONE VAV:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 1:Des Heat Cap [W],1 ZONE VAV:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 2:Des Heat Cap [W],1 ZONE VAV:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 3:Des Heat Cap [W],1 ZONE VAV:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 3:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 1:Des Heat Cap [W],1 ZONE VAV 1:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 2:Des Heat Cap [W],1 ZONE VAV 1:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 3:Des Heat Cap [W],1 ZONE VAV 1:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 3:Des Tot Cool Cap [W],1 ZONE VAV 2:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV 2:DesPer 1:Des Heat Cap [W],1 ZONE VAV 2:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV 2:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV 2:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV 2:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV 2:DesPer 2:Des Heat Cap [W],1 ZONE VAV 2:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV 2:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV 2:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV 2:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV 2:DesPer 3:Des Heat Cap [W],1 ZONE VAV 2:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV 2:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV 2:DesPer 3:Des Tot Cool Cap [W]
01:00:00,2.073266E+01,0.000000E+00,2.073266E+01,1.945468E+05,4.529781E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.424634E+05,4.720168E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.073266E+01,1.945468E+05,4.529781E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.424634E+05,4.720168E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.073266E+01,1.945468E+05,4.529781E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.424634E+05,4.720168E+05,2.577396E+01,5.636512E+05,2.073266E+01,0.000000E+00,0.000000E+00
02:00:00,2.073266E+01,0.000000E+00,2.073266E+01,1.867968E+05,4.450367E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.347133E+05,4.459317E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.073266E+01,1.867968E+05,4.450367E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.347133E+05,4.459317E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.073266E+01,1.867968E+05,4.450367E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.347133E+05,4.459317E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00
03:00:00,2.073266E+01,0.000000E+00,2.073266E+01,1.809843E+05,4.390810E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.289008E+05,4.266263E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.073266E+01,1.809843E+05,4.390810E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.289008E+05,4.266263E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.073266E+01,1.809843E+05,4.390810E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.289008E+05,4.266263E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00
04:00:00,2.073266E+01,0.000000E+00,2.073266E+01,1.751718E+05,4.331249E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.230883E+05,4.075386E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.073266E+01,1.751718E+05,4.331249E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.230883E+05,4.075386E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.073266E+01,1.751718E+05,4.331249E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.230883E+05,4.075386E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00
05:00:00,2.073266E+01,0.000000E+00,2.073266E+01,1.712968E+05,4.291546E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.192133E+05,3.949329E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.073266E+01,1.712968E+05,4.291546E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.192133E+05,3.949329E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.073266E+01,1.712968E+05,4.291546E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.192133E+05,3.949329E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00
06:00:00,2.073266E+01,0.000000E+00,2.073266E+01,1.751718E+05,4.331249E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.230883E+05,4.075386E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.073266E+01,1.751718E+05,4.331249E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.230883E+05,4.075386E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.175688E+01,1.922976E+05,4.584082E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.230883E+05,4.075386E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00
07:00:00,2.073266E+01,0.000000E+00,2.073266E+01,1.887343E+05,4.470221E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.366508E+05,4.524159E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.073266E+01,1.887343E+05,4.470221E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.366508E+05,4.524159E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.439990E+01,2.499334E+05,5.358110E+05,2.073266E+01,0.000000E+00,2.197634E+01,1.574037E+05,4.838368E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00
08:00:00,2.073266E+01,0.000000E+00,2.073266E+01,2.216719E+05,4.807725E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.695884E+05,5.665236E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.073266E+01,2.216719E+05,4.807725E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.695884E+05,5.665236E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.760427E+01,3.365125E+05,6.436923E+05,2.073266E+01,0.000000E+00,2.517753E+01,2.438700E+05,6.775635E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00
09:00:00,2.073266E+01,0.000000E+00,2.073266E+01,2.584845E+05,5.184932E+05,2.073266E+01,0.000000E+00,2.073266E+01,2.064010E+05,6.819231E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,3.169209E+01,4.159655E+05,7.363816E+05,2.073266E+01,0.000000E+00,3.107189E+01,3.549583E+05,8.925183E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,5.127968E+01,6.979128E+05,1.098481E+06,2.073266E+01,0.000000E+00,4.828505E+01,6.025811E+05,1.257271E+06,2.321162E+01,5.928626E+05,2.073266E+01,0.000000E+00,0.000000E+00
10:00:00,2.073266E+01,0.000000E+00,3.109353E+01,4.121432E+05,7.714442E+05,2.073266E+01,0.000000E+00,3.063561E+01,3.547079E+05,9.301771E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,5.873296E+01,7.360160E+05,1.106733E+06,2.073266E+01,0.000000E+00,5.794340E+01,6.746292E+05,1.269749E+06,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,8.325861E+01,1.024803E+06,1.464321E+06,2.073266E+01,0.000000E+00,7.960690E+01,9.293480E+05,1.655246E+06,3.680224E+01,4.781900E+05,2.073266E+01,0.000000E+00,0.000000E+00
