Time,1 ZONE VAV:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 1:Des Heat Cap [W],1 ZONE VAV:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 2:Des Heat Cap [W],1 ZONE VAV:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 3:Des Heat Cap [W],1 ZONE VAV:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 3:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 1:Des Heat Cap [W],1 ZONE VAV 1:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 2:Des Heat Cap [W],1 ZONE VAV 1:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 3:Des Heat Cap [W],1 ZONE VAV 1:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 3:Des Tot Cool Cap [W],1 ZONE VAV 2:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV 2:DesPer 1:Des Heat Cap [W],1 ZONE VAV 2:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV 2:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV 2:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV 2:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV 2:DesPer 2:Des Heat Cap [W],1 ZONE VAV 2:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV 2:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV 2:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV 2:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV 2:DesPer 3:Des Heat Cap [W],1 ZONE VAV 2:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV 2:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV 2:DesPer 3:Des Tot Cool Cap [W],1 ZONE VAV 3:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV 3:DesPer 1:Des Heat Cap [W],1 ZONE VAV 3:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV 3:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV 3:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV 3:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV 3:DesPer 2:Des Heat Cap [W],1 ZONE VAV 3:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV 3:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV 3:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV 3:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV 3:DesPer 3:Des Heat Cap [W],1 ZONE VAV 3:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV 3:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV 3:DesPer 3:Des Tot Cool Cap [W],1 ZONE VAV 4:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV 4:DesPer 1:Des Heat Cap [W],1 ZONE VAV 4:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV 4:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV 4:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV 4:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV 4:DesPer 2:Des Heat Cap [W],1 ZONE VAV 4:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV 4:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV 4:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV 4:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV 4:DesPer 3:Des Heat Cap [W],1 ZONE VAV 4:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV 4:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV 4:DesPer 3:Des Tot Cool Cap [W]
01:00:00,8.753530E-01,0.000000E+00,2.213822E+00,2.330393E+04,3.797018E+04,8.753530E-01,0.000000E+00,1.934053E+00,1.794945E+04,3.640701E+04,2.850312E+00,9.270781E+03,8.753530E-01,0.000000E+00,0.000000E+00,8.753530E-01,0.000000E+00,2.193760E+00,2.307752E+04,3.794479E+04,8.753530E-01,0.000000E+00,1.899652E+00,1.756138E+04,3.623342E+04,2.982080E+00,8.184059E+03,8.753530E-01,0.000000E+00,0.000000E+00,1.622745E+01,0.000000E+00,1.900484E+01,1.834967E+05,4.001855E+05,1.622745E+01,0.000000E+00,1.867354E+01,1.390018E+05,4.103000E+05,1.622745E+01,4.741508E+05,1.622745E+01,0.000000E+00,0.000000E+00,7.404876E+00,0.000000E+00,1.067547E+01,1.062879E+05,2.205686E+05,7.404876E+00,0.000000E+00,9.456222E+00,7.395301E+04,2.095476E+05,1.229891E+01,1.760705E+05,7.404876E+00,0.000000E+00,0.000000E+00,1.105735E+01,0.000000E+00,3.397812E+01,3.615744E+05,5.656430E+05,1.105735E+01,0.000000E+00,3.362505E+01,3.297857E+05,5.738565E+05,1.105735E+01,3.230854E+05,1.105735E+01,0.000000E+00,0.000000E+00
02:00:00,8.753530E-01,0.000000E+00,2.152131E+00,2.228117E+04,3.686716E+04,8.753530E-01,0.000000E+00,1.871323E+00,1.691529E+04,3.420084E+04,2.850620E+00,9.268238E+03,8.753530E-01,0.000000E+00,0.000000E+00,8.753530E-01,0.000000E+00,2.130320E+00,2.203507E+04,3.681198E+04,8.753530E-01,0.000000E+00,1.835156E+00,1.650734E+04,3.396771E+04,2.982387E+00,8.181519E+03,8.753530E-01,0.000000E+00,0.000000E+00,1.622745E+01,0.000000E+00,1.893404E+01,1.766344E+05,3.928766E+05,1.622745E+01,0.000000E+00,1.860222E+01,1.321347E+05,3.886506E+05,1.622745E+01,4.741508E+05,1.622745E+01,0.000000E+00,0.000000E+00,7.404876E+00,0.000000E+00,1.046050E+01,1.011009E+05,2.142996E+05,7.404876E+00,0.000000E+00,9.240004E+00,6.875606E+04,1.955885E+05,1.229919E+01,1.760682E+05,7.404876E+00,0.000000E+00,0.000000E+00,1.105735E+01,0.000000E+00,3.386802E+01,3.562007E+05,5.601380E+05,1.105735E+01,0.000000E+00,3.351389E+01,3.244067E+05,5.580462E+05,1.105735E+01,3.230854E+05,1.105735E+01,0.000000E+00,0.000000E+00
03:00:00,8.753530E-01,0.000000E+00,2.097628E+00,2.142129E+04,3.593326E+04,8.753530E-01,0.000000E+00,1.816144E+00,1.604805E+04,3.242830E+04,2.850917E+00,9.265782E+03,8.753530E-01,0.000000E+00,0.000000E+00,8.753530E-01,0.000000E+00,2.074544E+00,2.116083E+04,3.585527E+04,8.753530E-01,0.000000E+00,1.778732E+00,1.562610E+04,3.215023E+04,2.982684E+00,8.179066E+03,8.753530E-01,0.000000E+00,0.000000E+00,1.622745E+01,0.000000E+00,1.887282E+01,1.713964E+05,3.872633E+05,1.622745E+01,0.000000E+00,1.854057E+01,1.268926E+05,3.724892E+05,1.622745E+01,4.741508E+05,1.622745E+01,0.000000E+00,0.000000E+00,7.404876E+00,0.000000E+00,1.028808E+01,9.708452E+04,2.093819E+05,7.404876E+00,0.000000E+00,9.065727E+00,6.472178E+04,1.850536E+05,1.229945E+01,1.760660E+05,7.404876E+00,0.000000E+00,0.000000E+00,1.105735E+01,0.000000E+00,3.377806E+01,3.520871E+05,5.559095E+05,1.105735E+01,0.000000E+00,3.342298E+01,3.202889E+05,5.462628E+05,1.105735E+01,3.230854E+05,1.105735E+01,0.000000E+00,0.000000E+00
04:00:00,8.753530E-01,0.000000E+00,2.044001E+00,2.057127E+04,3.499995E+04,8.753530E-01,0.000000E+00,1.761866E+00,1.519093E+04,3.072307E+04,2.851204E+00,9.263411E+03,8.753530E-01,0.000000E+00,0.000000E+00,8.753530E-01,0.000000E+00,2.019665E+00,2.029671E+04,3.489815E+04,8.753530E-01,0.000000E+00,1.723166E+00,1.475448E+04,3.040305E+04,2.982971E+00,8.176697E+03,8.753530E-01,0.000000E+00,0.000000E+00,1.622745E+01,0.000000E+00,1.881268E+01,1.661707E+05,3.816555E+05,1.622745E+01,0.000000E+00,1.848010E+01,1.216638E+05,3.565302E+05,1.622745E+01,4.741508E+05,1.622745E+01,0.000000E+00,0.000000E+00,7.404876E+00,0.000000E+00,1.012045E+01,9.312205E+04,2.044436E+05,7.404876E+00,0.000000E+00,8.896071E+00,6.073871E+04,1.747869E+05,1.229971E+01,1.760639E+05,7.404876E+00,0.000000E+00,0.000000E+00,1.105735E+01,0.000000E+00,3.369668E+01,3.480704E+05,5.517608E+05,1.105735E+01,0.000000E+00,3.334074E+01,3.162681E+05,5.347970E+05,1.105735E+01,3.230854E+05,1.105735E+01,0.000000E+00,0.000000E+00
05:00:00,8.753530E-01,0.000000E+00,1.997285E+00,1.988099E+04,3.423910E+04,8.753530E-01,0.000000E+00,1.714827E+00,1.449717E+04,2.943099E+04,2.851482E+00,9.261121E+03,8.753530E-01,0.000000E+00,0.000000E+00,8.753530E-01,0.000000E+00,1.972226E+00,1.959829E+04,3.412147E+04,8.753530E-01,0.000000E+00,1.675411E+00,1.405266E+04,2.908210E+04,2.983248E+00,8.174410E+03,8.753530E-01,0.000000E+00,0.000000E+00,1.622745E+01,0.000000E+00,1.876179E+01,1.625655E+05,3.777499E+05,1.622745E+01,0.000000E+00,1.842893E+01,1.180560E+05,3.458021E+05,1.622745E+01,4.741508E+05,1.622745E+01,0.000000E+00,0.000000E+00,7.404876E+00,0.000000E+00,9.991185E+00,9.028343E+04,2.008736E+05,7.404876E+00,0.000000E+00,8.765024E+00,5.788146E+04,1.676236E+05,1.229995E+01,1.760619E+05,7.404876E+00,0.000000E+00,0.000000E+00,1.105735E+01,0.000000E+00,3.363178E+01,3.452727E+05,5.488828E+05,1.105735E+01,0.000000E+00,3.327506E+01,3.134660E+05,5.270180E+05,1.105735E+01,3.230854E+05,1.105735E+01,0.000000E+00,0.000000E+00
06:00:00,8.753530E-01,0.000000E+00,2.276236E+00,2.318947E+04,3.849986E+04,8.753530E-01,0.000000E+00,1.993265E+00,1.779990E+04,3.415563E+04,2.851749E+00,9.258909E+03,8.753530E-01,0.000000E+00,0.000000E+00,8.753530E-01,0.000000E+00,2.248826E+00,2.288022E+04,3.841518E+04,8.753530E-01,0.000000E+00,1.951341E+00,1.732707E+04,3.385182E+04,2.983516E+00,8.172201E+03,8.753530E-01,0.000000E+00,0.000000E+00,1.622745E+01,0.000000E+00,1.910911E+01,1.695030E+05,3.866300E+05,1.622745E+01,0.000000E+00,1.877071E+01,1.249313E+05,3.613628E+05,1.622745E+01,4.741508E+05,1.622745E+01,0.000000E+00,0.000000E+00,7.404876E+00,0.000000E+00,1.038323E+01,9.607889E+04,2.097181E+05,7.404876E+00,0.000000E+00,9.144668E+00,6.353796E+04,1.794611E+05,1.230019E+01,1.760600E+05,7.404876E+00,0.000000E+00,0.000000E+00,1.105735E+01,0.000000E+00,3.403621E+01,3.518874E+05,5.568467E+05,1.105735E+01,0.000000E+00,3.367701E+01,3.200564E+05,5.393891E+05,1.105735E+01,3.230854E+05,1.105735E+01,0.000000E+00,0.000000E+00
07:00:00,8.753530E-01,0.000000E+00,2.892014E+00,3.070355E+04,4.785379E+04,8.753530E-01,0.000000E+00,2.602458E+00,2.523965E+04,4.507545E+04,2.852008E+00,9.256774E+03,8.753530E-01,0.000000E+00,0.000000E+00,8.753530E-01,0.000000E+00,2.861831E+00,3.036289E+04,4.786382E+04,8.753530E-01,0.000000E+00,2.558590E+00,2.474477E+04,4.492005E+04,2.983774E+00,8.170068E+03,8.753530E-01,0.000000E+00,0.000000E+00,1.622745E+01,0.000000E+00,1.982746E+01,1.881928E+05,4.091278E+05,1.622745E+01,0.000000E+00,1.948460E+01,1.435711E+05,4.081889E+05,1.622745E+01,4.741508E+05,1.622745E+01,0.000000E+00,0.000000E+00,7.404876E+00,0.000000E+00,1.140382E+01,1.124041E+05,2.330449E+05,7.404876E+00,0.000000E+00,1.015692E+01,7.977020E+04,2.149576E+05,1.230042E+01,1.760581E+05,7.404876E+00,0.000000E+00,0.000000E+00,1.105735E+01,0.000000E+00,3.482092E+01,3.679426E+05,5.747074E+05,1.105735E+01,0.000000E+00,3.445935E+01,3.360876E+05,5.739566E+05,1.105735E+01,3.230854E+05,1.105735E+01,0.000000E+00,0.000000E+00
08:00:00,8.753530E-01,0.000000E+00,3.523961E+00,3.921684E+04,5.761332E+04,8.753530E-01,0.000000E+00,3.224872E+00,3.364512E+04,5.857613E+04,2.852258E+00,9.254712E+03,8.753530E-01,0.000000E+00,0.000000E+00,8.753530E-01,0.000000E+00,3.496254E+00,3.890388E+04,5.776017E+04,8.753530E-01,0.000000E+00,3.182987E+00,3.317236E+04,5.860769E+04,2.984023E+00,8.168009E+03,8.753530E-01,0.000000E+00,0.000000E+00,1.622745E+01,0.000000E+00,2.053284E+01,2.219008E+05,4.464151E+05,1.622745E+01,0.000000E+00,2.018814E+01,1.772584E+05,5.086610E+05,1.622745E+01,4.741508E+05,1.622745E+01,0.000000E+00,0.000000E+00,7.404876E+00,0.000000E+00,1.284235E+01,1.403469E+05,2.692517E+05,7.404876E+00,0.000000E+00,1.160002E+01,1.077642E+05,2.829594E+05,1.230063E+01,1.760563E+05,7.404876E+00,0.000000E+00,0.000000E+00,1.105735E+01,0.000000E+00,3.557609E+01,3.939981E+05,6.018635E+05,1.105735E+01,0.000000E+00,3.521429E+01,3.621413E+05,6.446926E+05,1.105735E+01,3.230854E+05,1.105735E+01,0.000000E+00,0.000000E+00
09:00:00,8.753530E-01,0.000000E+00,3.957658E+00,4.565927E+04,6.404554E+04,8.753530E-01,0.000000E+00,3.657328E+00,4.007303E+04,6.907963E+04,2.852499E+00,9.252720E+03,8.753530E-01,0.000000E+00,0.000000E+00,8.753530E-01,0.000000E+00,3.935384E+00,4.540735E+04,6.427955E+04,8.753530E-01,0.000000E+00,3.620906E+00,3.966159E+04,6.929250E+04,2.984264E+00,8.166020E+03,8.753530E-01,0.000000E+00,0.000000E+00,1.622745E+01,0.000000E+00,2.100860E+01,2.560622E+05,4.828190E+05,1.622745E+01,0.000000E+00,2.066451E+01,2.114258E+05,6.064268E+05,1.622745E+01,4.741508E+05,1.622745E+01,0.000000E+00,0.000000E+00,7.404876E+00,0.000000E+00,1.421757E+01,1.689594E+05,3.034639E+05,7.404876E+00,0.000000E+00,1.298688E+01,1.365017E+05,3.511204E+05,1.230084E+01,1.760546E+05,7.404876E+00,0.000000E+00,0.000000E+00,1.105735E+01,0.000000E+00,3.612078E+01,4.197571E+05,6.280842E+05,1.105735E+01,0.000000E+00,3.576030E+01,3.879125E+05,7.140144E+05,1.105735E+01,3.230854E+05,1.105735E+01,0.000000E+00,0.000000E+00
10:00:00,8.753530E-01,0.000000E+00,4.150962E+00,4.922965E+04,6.694436E+04,8.753530E-01,0.000000E+00,3.850181E+00,4.363713E+04,7.300292E+04,2.852732E+00,9.250797E+03,8.753530E-01,0.000000E+00,0.000000E+00,8.753530E-01,0.000000E+00,4.135320E+00,4.905243E+04,6.722334E+04,8.753530E-01,0.000000E+00,3.820471E+00,4.330118E+04,7.337728E+04,2.984497E+00,8.164100E+03,8.753530E-01,0.000000E+00,0.000000E+00,1.622745E+01,0.000000E+00,2.121987E+01,2.842194E+05,5.120213E+05,1.622745E+01,0.000000E+00,2.087661E+01,2.395900E+05,6.363842E+05,1.622745E+01,4.741508E+05,1.622745E+01,0.000000E+00,0.000000E+00,7.404876E+00,0.000000E+00,1.529689E+01,1.928632E+05,3.302336E+05,7.404876E+00,0.000000E+00,1.407761E+01,1.605149E+05,3.852460E+05,1.230104E+01,1.760529E+05,7.404876E+00,0.000000E+00,0.000000E+00,1.105735E+01,0.000000E+00,3.640804E+01,4.405578E+05,6.489783E+05,1.105735E+01,0.000000E+00,3.604889E+01,4.087190E+05,7.367338E+05,1.105735E+01,3.230854E+05,1.105735E+01,0.000000E+00,0.000000E+00
