Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 10 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 10 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 10 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 10 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 9 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 9 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 9 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 9 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,2.647507E+04,2.496267E+04,8.952431E-01,2.422006E+00,2.015292E+05,5.096073E+04,6.805252E+00,4.947927E+00,4.164593E+04,6.330893E+04,1.407970E+00,6.142692E+00,4.419191E+04,2.204413E+04,2.280249E+00,1.925063E+00,4.623626E+04,2.184403E+04,2.385664E+00,1.907618E+00,4.795221E+04,6.377877E+04,1.621036E+00,6.188714E+00,4.939459E+04,6.213819E+04,1.669765E+00,6.029575E+00,5.062708E+04,1.887116E+05,2.612052E+00,1.652595E+01,1.909189E+05,1.061011E+05,9.839130E+00,9.283021E+00,5.089489E+04,3.375604E+05,2.625789E+00,2.954619E+01
02:00:00,2.647508E+04,2.468149E+04,8.952433E-01,2.394742E+00,2.015292E+05,4.798159E+04,6.805253E+00,4.658589E+00,4.164594E+04,6.220488E+04,1.407970E+00,6.035590E+00,4.419668E+04,2.142979E+04,2.280496E+00,1.871418E+00,4.624103E+04,2.121230E+04,2.385910E+00,1.852452E+00,4.795698E+04,6.311505E+04,1.621197E+00,6.124321E+00,4.939935E+04,6.146289E+04,1.669926E+00,5.964057E+00,5.063184E+04,1.880067E+05,2.612298E+00,1.646438E+01,1.909232E+05,1.039647E+05,9.839351E+00,9.096087E+00,5.089490E+04,3.364641E+05,2.625789E+00,2.945045E+01
03:00:00,2.647509E+04,2.443983E+04,8.952435E-01,2.371306E+00,2.015292E+05,4.560827E+04,6.805253E+00,4.428123E+00,4.164594E+04,6.128060E+04,1.407970E+00,5.945929E+00,4.420129E+04,2.088707E+04,2.280734E+00,1.824025E+00,4.624564E+04,2.065690E+04,2.386147E+00,1.803951E+00,4.796159E+04,6.253695E+04,1.621353E+00,6.068237E+00,4.940396E+04,6.087671E+04,1.670082E+00,5.907189E+00,5.063644E+04,1.873972E+05,2.612535E+00,1.641114E+01,1.909273E+05,1.022506E+05,9.839563E+00,8.946158E+00,5.089492E+04,3.355681E+05,2.625790E+00,2.937223E+01
04:00:00,2.647509E+04,2.420711E+04,8.952437E-01,2.348734E+00,2.015292E+05,4.342155E+04,6.805253E+00,4.215791E+00,4.164595E+04,6.045801E+04,1.407970E+00,5.866135E+00,4.420574E+04,2.035306E+04,2.280963E+00,1.777392E+00,4.625009E+04,2.011043E+04,2.386377E+00,1.756230E+00,4.796604E+04,6.197033E+04,1.621503E+00,6.013269E+00,4.940840E+04,6.030181E+04,1.670232E+00,5.851416E+00,5.064087E+04,1.867988E+05,2.612764E+00,1.635885E+01,1.909312E+05,1.005840E+05,9.839767E+00,8.800393E+00,5.089493E+04,3.347578E+05,2.625791E+00,2.930146E+01
05:00:00,2.647510E+04,2.400738E+04,8.952439E-01,2.329363E+00,2.015292E+05,4.175530E+04,6.805253E+00,4.053976E+00,4.164595E+04,5.977449E+04,1.407971E+00,5.799829E+00,4.421004E+04,1.988789E+04,2.281185E+00,1.736770E+00,4.625438E+04,1.963807E+04,2.386599E+00,1.714979E+00,4.797033E+04,6.148412E+04,1.621648E+00,5.966099E+00,4.941270E+04,5.981122E+04,1.670378E+00,5.803823E+00,5.064516E+04,1.862927E+05,2.612985E+00,1.631460E+01,1.909350E+05,9.929921E+04,9.839963E+00,8.687987E+00,5.089494E+04,3.341117E+05,2.625791E+00,2.924502E+01
06:00:00,2.647510E+04,2.659253E+04,8.952441E-01,2.580201E+00,2.015292E+05,4.519728E+04,6.805253E+00,4.388121E+00,4.164596E+04,6.287126E+04,1.407971E+00,6.100319E+00,4.421420E+04,2.266551E+04,2.281400E+00,1.979335E+00,4.625853E+04,2.239225E+04,2.386813E+00,1.955500E+00,4.797448E+04,6.461748E+04,1.621789E+00,6.270154E+00,4.941684E+04,6.291671E+04,1.670518E+00,6.105176E+00,5.064930E+04,1.897405E+05,2.613198E+00,1.661662E+01,1.909387E+05,1.031954E+05,9.840151E+00,9.028892E+00,5.089495E+04,3.381282E+05,2.625792E+00,2.959670E+01
07:00:00,2.647511E+04,3.226077E+04,8.952442E-01,3.130305E+00,2.015292E+05,5.493381E+04,6.805253E+00,5.333875E+00,4.164596E+04,6.960555E+04,1.407971E+00,6.753863E+00,4.421820E+04,2.879604E+04,2.281606E+00,2.514795E+00,4.626253E+04,2.849501E+04,2.387019E+00,2.488548E+00,4.797848E+04,7.130909E+04,1.621924E+00,6.919606E+00,4.942084E+04,6.958001E+04,1.670653E+00,6.751888E+00,5.065329E+04,1.968665E+05,2.613405E+00,1.724127E+01,1.909422E+05,1.133306E+05,9.840332E+00,9.916361E+00,5.089496E+04,3.459181E+05,2.625793E+00,3.027906E+01
08:00:00,2.647511E+04,3.774338E+04,8.952444E-01,3.662396E+00,2.015292E+05,6.943470E+04,6.805253E+00,6.743002E+00,4.164597E+04,7.646829E+04,1.407971E+00,7.419945E+00,4.422208E+04,3.508643E+04,2.281806E+00,3.064314E+00,4.626640E+04,3.480982E+04,2.387219E+00,3.040221E+00,4.798235E+04,7.798294E+04,1.622055E+00,7.567420E+00,4.942471E+04,7.626753E+04,1.670784E+00,7.401042E+00,5.065715E+04,2.038620E+05,2.613604E+00,1.785464E+01,1.909456E+05,1.276112E+05,9.840506E+00,1.116726E+01,5.089497E+04,3.534137E+05,2.625793E+00,3.093573E+01
09:00:00,2.647512E+04,4.108666E+04,8.952445E-01,3.986778E+00,2.015292E+05,8.405106E+04,6.805253E+00,8.163744E+00,4.164597E+04,8.159452E+04,1.407971E+00,7.917407E+00,4.422581E+04,3.940355E+04,2.281999E+00,3.441442E+00,4.627013E+04,3.918083E+04,2.387411E+00,3.422073E+00,4.798608E+04,8.252620E+04,1.622181E+00,8.008344E+00,4.942844E+04,8.084779E+04,1.670910E+00,7.845567E+00,5.066088E+04,2.085856E+05,2.613796E+00,1.826835E+01,1.909488E+05,1.412626E+05,9.840673E+00,1.236310E+01,5.089498E+04,3.588238E+05,2.625793E+00,3.140937E+01
10:00:00,2.647512E+04,4.216031E+04,8.952447E-01,4.090793E+00,2.015292E+05,9.624969E+04,6.805253E+00,9.349134E+00,4.164598E+04,8.442445E+04,1.407971E+00,8.191892E+00,4.422942E+04,4.132888E+04,2.282185E+00,3.609532E+00,4.627374E+04,4.117215E+04,2.387597E+00,3.595931E+00,4.798969E+04,8.455824E+04,1.622303E+00,8.205400E+00,4.943204E+04,8.292749E+04,1.671032E+00,8.047250E+00,5.066448E+04,2.106907E+05,2.613982E+00,1.845206E+01,1.909519E+05,1.519832E+05,9.840834E+00,1.330164E+01,5.089499E+04,3.616815E+05,2.625794E+00,3.165916E+01
