Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 10 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 10 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 10 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 10 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 9 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 9 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 9 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 9 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,2.647507E+04,2.498294E+04,8.952431E-01,2.423972E+00,2.015292E+05,5.105822E+04,6.805252E+00,4.957394E+00,4.164593E+04,6.346257E+04,1.407970E+00,6.157596E+00,4.419191E+04,2.250388E+04,2.280249E+00,1.965212E+00,4.623626E+04,2.230048E+04,2.385664E+00,1.947479E+00,4.795221E+04,6.459009E+04,1.621036E+00,6.267432E+00,4.939459E+04,6.293251E+04,1.669765E+00,6.106644E+00,5.062708E+04,1.896799E+05,2.612052E+00,1.661063E+01,1.909189E+05,1.068549E+05,9.839130E+00,9.348957E+00,5.089489E+04,3.378268E+05,2.625789E+00,2.956945E+01
02:00:00,2.647508E+04,2.470015E+04,8.952433E-01,2.396552E+00,2.015292E+05,4.806042E+04,6.805253E+00,4.666243E+00,4.164594E+04,6.232980E+04,1.407970E+00,6.047707E+00,4.419668E+04,2.187023E+04,2.280496E+00,1.909880E+00,4.624103E+04,2.164957E+04,2.385910E+00,1.890640E+00,4.795698E+04,6.388966E+04,1.621197E+00,6.199477E+00,4.939935E+04,6.222131E+04,1.669926E+00,6.037643E+00,5.063184E+04,1.889290E+05,2.612298E+00,1.654504E+01,1.909232E+05,1.046827E+05,9.839351E+00,9.158895E+00,5.089490E+04,3.366930E+05,2.625789E+00,2.947045E+01
03:00:00,2.647509E+04,2.445702E+04,8.952435E-01,2.372973E+00,2.015292E+05,4.567217E+04,6.805253E+00,4.434328E+00,4.164594E+04,6.138234E+04,1.407970E+00,5.955798E+00,4.420129E+04,2.130898E+04,2.280734E+00,1.860869E+00,4.624564E+04,2.107579E+04,2.386147E+00,1.840533E+00,4.796159E+04,6.327660E+04,1.621353E+00,6.140001E+00,4.940396E+04,6.160094E+04,1.670082E+00,5.977457E+00,5.063644E+04,1.882758E+05,2.612535E+00,1.648798E+01,1.909273E+05,1.029347E+05,9.839563E+00,9.006002E+00,5.089492E+04,3.357665E+05,2.625790E+00,2.938955E+01
04:00:00,2.647509E+04,2.422294E+04,8.952437E-01,2.350269E+00,2.015292E+05,4.347341E+04,6.805253E+00,4.220827E+00,4.164595E+04,6.054102E+04,1.407970E+00,5.874187E+00,4.420574E+04,2.075725E+04,2.280963E+00,1.812689E+00,4.625009E+04,2.051174E+04,2.386377E+00,1.791276E+00,4.796604E+04,6.267657E+04,1.621503E+00,6.081791E+00,4.940840E+04,6.099334E+04,1.670232E+00,5.918513E+00,5.064087E+04,1.876358E+05,2.612764E+00,1.643204E+01,1.909312E+05,1.012358E+05,9.839767E+00,8.857416E+00,5.089493E+04,3.349310E+05,2.625791E+00,2.931659E+01
05:00:00,2.647510E+04,2.402197E+04,8.952439E-01,2.330778E+00,2.015292E+05,4.179762E+04,6.805253E+00,4.058085E+00,4.164595E+04,5.984234E+04,1.407971E+00,5.806411E+00,4.421004E+04,2.027513E+04,2.281185E+00,1.770587E+00,4.625438E+04,2.002255E+04,2.386599E+00,1.748556E+00,4.797033E+04,6.215857E+04,1.621648E+00,6.031537E+00,4.941270E+04,6.047166E+04,1.670378E+00,5.867902E+00,5.064516E+04,1.870900E+05,2.612985E+00,1.638433E+01,1.909350E+05,9.992046E+04,9.839963E+00,8.742335E+00,5.089494E+04,3.342639E+05,2.625791E+00,2.925832E+01
06:00:00,2.647510E+04,0.000000E+00,8.952441E-01,0.000000E+00,2.015292E+05,0.000000E+00,6.805253E+00,0.000000E+00,4.164596E+04,0.000000E+00,1.407971E+00,0.000000E+00,4.421420E+04,0.000000E+00,2.281400E+00,0.000000E+00,4.625853E+04,0.000000E+00,2.386813E+00,0.000000E+00,4.797448E+04,0.000000E+00,1.621789E+00,0.000000E+00,4.941684E+04,0.000000E+00,1.670518E+00,0.000000E+00,5.064930E+04,9.984639E+04,2.613198E+00,5.920899E+00,1.909387E+05,1.395917E+04,9.840151E+00,8.238996E-01,5.089495E+04,2.279625E+05,2.625792E+00,1.358381E+01
07:00:00,2.647511E+04,5.913202E+04,8.952442E-01,5.396992E+00,2.015292E+05,4.727392E+04,6.805253E+00,4.283201E+00,4.164596E+04,8.541644E+04,1.407971E+00,7.545053E+00,4.421820E+04,1.551376E+04,2.281606E+00,1.251011E+00,4.626253E+04,1.529475E+04,2.387019E+00,1.234593E+00,4.797848E+04,8.494049E+04,1.621924E+00,7.483844E+00,4.942084E+04,8.209754E+04,1.670653E+00,7.242803E+00,5.065329E+04,1.675958E+05,2.613405E+00,1.348307E+01,1.909422E+05,1.032439E+05,9.840332E+00,8.182318E+00,5.089496E+04,3.669072E+05,2.625793E+00,2.996277E+01
08:00:00,2.647511E+04,3.052410E+04,8.952444E-01,2.960829E+00,2.015292E+05,6.693827E+04,6.805253E+00,6.494326E+00,4.164597E+04,7.030564E+04,1.407971E+00,6.819887E+00,4.422208E+04,3.324952E+04,2.281806E+00,2.903030E+00,4.626640E+04,3.298245E+04,2.387219E+00,2.879719E+00,4.798235E+04,7.244569E+04,1.622055E+00,7.027610E+00,4.942471E+04,7.086088E+04,1.670784E+00,6.873881E+00,5.065715E+04,1.980683E+05,2.613604E+00,1.731658E+01,1.909456E+05,1.193509E+05,9.840506E+00,1.042866E+01,5.089497E+04,3.471388E+05,2.625793E+00,3.034000E+01
09:00:00,2.647512E+04,4.359392E+04,8.952445E-01,4.229194E+00,2.015292E+05,8.944148E+04,6.805253E+00,8.686413E+00,4.164597E+04,8.951193E+04,1.407971E+00,8.685165E+00,4.422581E+04,4.282151E+04,2.281999E+00,3.740198E+00,4.627013E+04,4.255337E+04,2.387411E+00,3.716873E+00,4.798608E+04,8.839651E+04,1.622181E+00,8.577456E+00,4.942844E+04,8.659155E+04,1.670910E+00,8.402396E+00,5.066088E+04,2.154849E+05,2.613796E+00,1.888422E+01,1.909488E+05,1.473236E+05,9.840673E+00,1.289565E+01,5.089498E+04,3.689977E+05,2.625793E+00,3.228085E+01
10:00:00,2.647512E+04,4.246475E+04,8.952447E-01,4.119953E+00,2.015292E+05,9.933790E+04,6.805253E+00,9.649407E+00,4.164598E+04,8.874561E+04,1.407971E+00,8.611025E+00,4.422942E+04,4.229401E+04,2.282185E+00,3.694264E+00,4.627374E+04,4.212837E+04,2.387597E+00,3.679904E+00,4.798969E+04,8.650520E+04,1.622303E+00,8.394070E+00,4.943204E+04,8.483134E+04,1.671032E+00,8.231749E+00,5.066448E+04,2.130700E+05,2.613982E+00,1.867231E+01,1.909519E+05,1.538092E+05,9.840834E+00,1.346456E+01,5.089499E+04,3.686568E+05,2.625794E+00,3.225958E+01
