Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,1.055118E+04,3.405519E+03,3.656090E-01,3.177767E-01,1.675455E+04,6.436260E+03,5.803922E-01,6.006661E-01,3.934529E+04,1.790862E+04,1.362001E+00,1.672227E+00
02:00:00,1.078060E+04,3.015886E+03,3.735595E-01,2.814184E-01,1.712749E+04,5.426794E+03,5.933094E-01,5.064496E-01,3.960725E+04,1.668865E+04,1.371068E+00,1.558315E+00
03:00:00,1.091713E+04,2.775032E+03,3.782917E-01,2.589474E-01,1.734828E+04,4.678135E+03,6.009629E-01,4.365823E-01,3.977173E+04,1.579162E+04,1.376769E+00,1.474560E+00
04:00:00,1.100844E+04,2.561899E+03,3.814567E-01,2.390671E-01,1.750485E+04,4.069805E+03,6.063922E-01,3.798121E-01,3.988183E+04,1.504749E+04,1.380586E+00,1.405086E+00
05:00:00,1.096066E+04,2.490734E+03,3.798020E-01,2.324266E-01,1.744852E+04,3.752304E+03,6.044443E-01,3.501818E-01,3.984592E+04,1.461792E+04,1.379346E+00,1.364975E+00
06:00:00,1.063143E+04,3.302561E+03,3.683941E-01,3.081869E-01,1.699208E+04,5.243979E+03,5.886361E-01,4.893969E-01,3.954788E+04,1.639909E+04,1.369034E+00,1.531304E+00
07:00:00,1.018610E+04,5.007519E+03,3.529638E-01,4.673288E-01,1.640711E+04,8.525904E+03,5.683772E-01,7.957984E-01,3.916778E+04,2.046746E+04,1.355886E+00,1.911404E+00
08:00:00,1.001150E+04,7.125833E+03,3.469140E-01,6.650882E-01,1.614161E+04,1.248620E+04,5.591839E-01,1.165694E+00,3.897778E+04,2.601848E+04,1.349316E+00,2.430143E+00
09:00:00,1.082947E+04,8.063861E+03,3.752583E-01,7.526741E-01,1.707408E+04,1.509299E+04,5.914871E-01,1.409204E+00,3.955045E+04,3.081265E+04,1.369139E+00,2.878196E+00
10:00:00,1.109900E+04,8.922897E+03,3.845963E-01,8.328103E-01,1.743011E+04,1.730850E+04,6.038067E-01,1.615912E+00,3.976207E+04,3.482107E+04,1.376439E+00,3.252556E+00
