Electricity:Facility,ElectricityProduced:Facility,Gas:Facility,DistrictCooling:Facility,DistrictHeating:Facility,District Cooling Chilled Water Rate,District Cooling Mass Flow Rate,District Cooling Inlet Temperature,District Cooling Outlet Temperature,District Heating Hot Water Rate,District Heating Mass Flow Rate,District Heating Inlet Temperature,District Heating Outlet Temperature,ElectricityProduced:Total,Electricity:Load:Total,Electricity:Grid:ToLoad,Electricity:Grid:ToBattery,Electricity:Storage:ToLoad,Electricity:Storage:ToGrid,Electricity:Storage:StateOfCharge,ElectricityProduced:Generator:Total,ElectricityProduced:Generator:ToBattery,ElectricityProduced:Generator:ToLoad,ElectricityProduced:Generator:ToGrid,ElectricityProduced:PV:Total,ElectricityProduced:PV:ToBattery,ElectricityProduced:PV:ToLoad,ElectricityProduced:PV:ToGrid,ElectricityProduced:Wind:Total,ElectricityProduced:Wind:ToBattery,ElectricityProduced:Wind:ToLoad,ElectricityProduced:Wind:ToGrid
98.31978180835446,0,182.4819054420604,0,0,0,0,0,0,0,0,0,0,0,28.1418,28.1418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96.02373711431379,0,211.96898679447452,0,0,0,0,0,0,0,0,0,0,0,27.7895,27.7895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94.82163143864658,0,183.63694432103148,0,0,0,0,0,0,0,0,0,0,0,27.5975,27.5975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94.16658676361429,0,123.87042258606483,0,0,0,0,0,0,0,0,0,0,0,28.4513,28.4513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97.07977732475153,0,177.10269933187502,0,0,0,0,0,0,0,0,0,0,0,30.7495,30.7495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.9216872166142,0,115.64434963558081,0,0,0,0,0,0,0,0,0,0,0,62.9461,62.9461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214.78118921553053,0,144.87804842105402,0,0,0,0,0,0,0,0,0,0,0,51.0099,51.0099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174.05318078315665,0,154.33123054967243,0,0,0,0,0,0,0,0,0,0,0,59.2749,59.2749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202.25455818212137,0,160.56896039108332,0,0,0,0,0,0,0,0,0,0,0,43.9144,43.9144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.84208701598078,0,133.66157355168778,0,0,0,0,0,0,0,0,0,0,0,44.0971,44.0971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.46571780136836,0,145.99062375778115,0,0,0,0,0,0,0,0,0,0,0,44.1613,44.1613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.684483544795,0,158.15189538489054,0,0,0,0,0,0,0,0,0,0,0,43.6912,43.6912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.08063482431825,0,122.0596002508584,0,0,0,0,0,0,0,0,0,0,0,43.0031,43.0031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146.7328378264282,0,120.03528809671735,0,0,0,0,0,0,0,0,0,0,0,42.7144,42.7144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145.7475496714342,0,112.12542097588629,0,0,0,0,0,0,0,0,0,0,0,44.2349,44.2349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.93563658231872,0,138.62840291906753,0,0,0,0,0,0,0,0,0,0,0,48.186,48.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164.41743861645003,0,136.94954064432963,0,0,0,0,0,0,0,0,0,0,0,57.7424,57.7424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197.0251905329346,0,135.7948270840613,0,0,0,0,0,0,0,0,0,0,0,58.5429,58.5429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199.75672896632548,0,174.92494452874794,0,0,0,0,0,0,0,0,0,0,0,61.7968,61.7968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210.85932346854028,0,164.12178195056606,0,0,0,0,0,0,0,0,0,0,0,68.3946,68.3946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233.3721987042672,0,147.15045418575772,0,0,0,0,0,0,0,0,0,0,0,54.4174,54.4174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185.6798985991771,0,166.775868968729,0,0,0,0,0,0,0,0,0,0,0,49.797,49.797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169.9144243637038,0,217.5989190468444,0,0,0,0,0,0,0,0,0,0,0,32.6044,32.6044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111.25081478647955,0,212.44826798732652,0,0,0,0,0,0,0,0,0,0,0,28.819,28.819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98.3344373475396,0,193.90805817238305,0,0,0,0,0,0,0,0,0,0,0,28.1693,28.1693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96.1177395374565,0,274.6166172834406,0,0,0,0,0,0,0,0,0,0,0,27.8121,27.8121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94.89893107904375,0,235.5779629490857,0,0,0,0,0,0,0,0,0,0,0,27.6393,27.6393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94.30924813456457,0,233.2284557266501,0,0,0,0,0,0,0,0,0,0,0,28.4732,28.4732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97.15467086789027,0,227.3901648585011,0,0,0,0,0,0,0,0,0,0,0,43.8179,43.8179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.51295735926607,0,216.8808287510042,0,0,0,0,0,0,0,0,0,0,0,48.6197,48.6197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165.8972262199715,0,221.85432420764405,0,0,0,0,0,0,0,0,0,0,0,65.4951,65.4951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223.47874755994366,0,205.12126443744086,0,0,0,0,0,0,0,0,0,0,0,46.213,46.213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157.6853964444819,0,196.7458894465402,0,0,0,0,0,0,0,0,0,0,0,56.788,56.788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193.76879185024993,0,196.71540344462352,0,0,0,0,0,0,0,0,0,0,0,44.1088,44.1088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.50567652468038,0,183.26031854823503,0,0,0,0,0,0,0,0,0,0,0,44.1567,44.1567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
