Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,2.127293E+04,9.207947E+02,7.369670E-01,8.592678E-02
02:00:00,2.150281E+04,3.952877E+02,7.449318E-01,3.688389E-02
03:00:00,2.160655E+04,6.157862E+01,7.485297E-01,5.745486E-03
04:00:00,2.165816E+04,0.000000E+00,7.503215E-01,0.000000E+00
05:00:00,2.156043E+04,0.000000E+00,7.469377E-01,0.000000E+00
06:00:00,2.117046E+04,1.021622E+03,7.334293E-01,9.621419E-02
07:00:00,2.069989E+04,3.749154E+03,7.171298E-01,3.499539E-01
08:00:00,2.049391E+04,6.347821E+03,7.099963E-01,5.927896E-01
09:00:00,2.119118E+04,8.883782E+03,7.341519E-01,8.298402E-01
10:00:00,2.146649E+04,1.057206E+04,7.436803E-01,9.873825E-01
11:00:00,2.143939E+04,1.135242E+04,7.427325E-01,1.059925E+00
12:00:00,2.141084E+04,1.113187E+04,7.417372E-01,1.039050E+00
13:00:00,2.143644E+04,1.120380E+04,7.426205E-01,1.045617E+00
14:00:00,2.153586E+04,1.162420E+04,7.460632E-01,1.084820E+00
15:00:00,2.158089E+04,1.179512E+04,7.476221E-01,1.100782E+00
16:00:00,2.140930E+04,1.190486E+04,7.416776E-01,1.111023E+00
17:00:00,2.071541E+04,1.269359E+04,7.176413E-01,1.184624E+00
18:00:00,1.949876E+04,1.328502E+04,6.754982E-01,1.239827E+00
19:00:00,1.869647E+04,1.162567E+04,6.477124E-01,1.084972E+00
20:00:00,1.867386E+04,7.157471E+03,6.469332E-01,6.679555E-01
21:00:00,1.876161E+04,4.981087E+03,6.499731E-01,4.648180E-01
22:00:00,1.901819E+04,3.859610E+03,6.588619E-01,3.601660E-01
23:00:00,1.985117E+04,2.730130E+03,6.877180E-01,2.547726E-01
24:00:00,2.062914E+04,1.831041E+03,7.146656E-01,1.708731E-01
Peak,2.165816E+04,1.328502E+04,7.503215E-01,1.239827E+00

Peak Vol Flow (m3/s),,,6.391561E-01,1.056138E+00
