Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,2.530747E+04,1.165773E+03,8.767526E-01,1.087870E-01
02:00:00,2.558641E+04,5.291903E+02,8.864171E-01,4.937822E-02
03:00:00,2.571227E+04,1.227108E+02,8.907821E-01,1.144936E-02
04:00:00,2.577489E+04,0.000000E+00,8.929558E-01,0.000000E+00
05:00:00,2.565622E+04,0.000000E+00,8.888467E-01,0.000000E+00
06:00:00,2.518277E+04,1.903984E+03,8.724464E-01,1.790068E-01
07:00:00,2.461157E+04,5.525493E+03,8.526609E-01,5.158448E-01
08:00:00,2.436159E+04,1.081302E+04,8.440031E-01,1.010072E+00
09:00:00,2.520819E+04,1.333844E+04,8.733326E-01,1.246136E+00
10:00:00,2.554235E+04,1.425454E+04,8.848986E-01,1.331267E+00
11:00:00,2.550940E+04,1.370953E+04,8.837463E-01,1.279819E+00
12:00:00,2.547472E+04,1.217916E+04,8.825375E-01,1.136660E+00
13:00:00,2.550580E+04,1.235634E+04,8.836098E-01,1.153093E+00
14:00:00,2.562651E+04,1.419656E+04,8.877897E-01,1.324844E+00
15:00:00,2.568117E+04,1.612169E+04,8.896822E-01,1.504572E+00
16:00:00,2.547284E+04,1.749508E+04,8.824647E-01,1.632776E+00
17:00:00,2.463044E+04,1.852540E+04,8.532833E-01,1.728910E+00
18:00:00,2.315348E+04,1.847519E+04,8.021225E-01,1.724189E+00
19:00:00,2.217971E+04,1.530611E+04,7.683964E-01,1.428408E+00
20:00:00,2.215243E+04,9.040676E+03,7.674561E-01,8.436725E-01
21:00:00,2.225903E+04,6.191506E+03,7.711494E-01,5.777572E-01
22:00:00,2.257057E+04,4.764859E+03,7.819425E-01,4.446341E-01
23:00:00,2.358177E+04,3.347018E+03,8.169734E-01,3.123358E-01
24:00:00,2.452608E+04,2.265429E+03,8.496839E-01,2.114070E-01
Peak,2.577489E+04,1.852540E+04,8.929558E-01,1.728910E+00

Peak Vol Flow (m3/s),,,7.606581E-01,1.472760E+00
