Time,1 ZONE VAV:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 1:Des Heat Cap [W],1 ZONE VAV:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 2:Des Heat Cap [W],1 ZONE VAV:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 3:Des Heat Cap [W],1 ZONE VAV:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 3:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 1:Des Heat Cap [W],1 ZONE VAV 1:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 2:Des Heat Cap [W],1 ZONE VAV 1:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 3:Des Heat Cap [W],1 ZONE VAV 1:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 3:Des Tot Cool Cap [W],1 ZONE VAV 2:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV 2:DesPer 1:Des Heat Cap [W],1 ZONE VAV 2:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV 2:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV 2:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV 2:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV 2:DesPer 2:Des Heat Cap [W],1 ZONE VAV 2:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV 2:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV 2:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV 2:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV 2:DesPer 3:Des Heat Cap [W],1 ZONE VAV 2:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV 2:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV 2:DesPer 3:Des Tot Cool Cap [W],1 ZONE VAV 3:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV 3:DesPer 1:Des Heat Cap [W],1 ZONE VAV 3:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV 3:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV 3:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV 3:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV 3:DesPer 2:Des Heat Cap [W],1 ZONE VAV 3:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV 3:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV 3:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV 3:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV 3:DesPer 3:Des Heat Cap [W],1 ZONE VAV 3:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV 3:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV 3:DesPer 3:Des Tot Cool Cap [W],1 ZONE VAV 4:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV 4:DesPer 1:Des Heat Cap [W],1 ZONE VAV 4:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV 4:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV 4:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV 4:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV 4:DesPer 2:Des Heat Cap [W],1 ZONE VAV 4:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV 4:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV 4:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV 4:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV 4:DesPer 3:Des Heat Cap [W],1 ZONE VAV 4:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV 4:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV 4:DesPer 3:Des Tot Cool Cap [W],1 ZONE VAV 5:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV 5:DesPer 1:Des Heat Cap [W],1 ZONE VAV 5:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV 5:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV 5:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV 5:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV 5:DesPer 2:Des Heat Cap [W],1 ZONE VAV 5:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV 5:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV 5:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV 5:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV 5:DesPer 3:Des Heat Cap [W],1 ZONE VAV 5:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV 5:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV 5:DesPer 3:Des Tot Cool Cap [W]
01:00:00,3.005957E+00,0.000000E+00,3.005957E+00,2.820668E+04,6.567574E+04,3.005957E+00,0.000000E+00,3.005957E+00,2.065527E+04,6.843608E+04,3.005957E+00,8.783122E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,4.676302E+00,5.156687E+04,9.209211E+04,3.005957E+00,0.000000E+00,4.406848E+00,4.025070E+04,9.147959E+04,3.005957E+00,8.783122E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,5.180927E+00,5.862139E+04,1.006487E+05,3.005957E+00,0.000000E+00,4.882114E+00,4.689775E+04,1.000395E+05,3.005957E+00,8.783122E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,5.121610E+00,5.779131E+04,1.000781E+05,3.005957E+00,0.000000E+00,4.805662E+00,4.582807E+04,9.927209E+04,3.005957E+00,8.783122E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,4.660293E+00,5.134235E+04,9.245581E+04,3.005957E+00,0.000000E+00,4.340674E+00,3.932448E+04,9.121568E+04,3.005957E+00,8.783122E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,3.005957E+00,2.820668E+04,6.567574E+04,3.005957E+00,0.000000E+00,3.005957E+00,2.065527E+04,6.843608E+04,1.030352E+01,6.724445E+04,3.005957E+00,0.000000E+00,0.000000E+00
02:00:00,3.005957E+00,0.000000E+00,3.005957E+00,2.708303E+04,6.452434E+04,3.005957E+00,0.000000E+00,3.005957E+00,1.953162E+04,6.465410E+04,3.005957E+00,8.783122E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,5.068631E+00,5.593377E+04,9.694015E+04,3.005957E+00,0.000000E+00,4.777868E+00,4.431487E+04,9.351562E+04,3.005957E+00,8.783122E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,5.573921E+00,6.299933E+04,1.053031E+05,3.005957E+00,0.000000E+00,5.250028E+00,5.091698E+04,1.017809E+05,3.005957E+00,8.783122E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,5.744842E+00,6.538917E+04,1.084648E+05,3.005957E+00,0.000000E+00,5.400269E+00,5.301738E+04,1.048661E+05,3.005957E+00,8.783122E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,5.047685E+00,5.563971E+04,9.742950E+04,3.005957E+00,0.000000E+00,4.704913E+00,4.329314E+04,9.336667E+04,3.005957E+00,8.783122E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,3.005957E+00,2.708303E+04,6.452434E+04,3.005957E+00,0.000000E+00,3.005957E+00,1.953162E+04,6.465410E+04,1.053486E+01,6.663726E+04,3.005957E+00,0.000000E+00,0.000000E+00
03:00:00,3.005957E+00,0.000000E+00,3.005957E+00,2.624029E+04,6.366084E+04,3.005957E+00,0.000000E+00,3.005957E+00,1.868889E+04,6.185507E+04,3.005957E+00,8.783122E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,5.210743E+00,5.707923E+04,9.795993E+04,3.005957E+00,0.000000E+00,4.922368E+00,4.549290E+04,9.257947E+04,3.005957E+00,8.783122E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,5.801520E+00,6.534110E+04,1.073924E+05,3.005957E+00,0.000000E+00,5.480281E+00,5.329445E+04,1.018373E+05,3.005957E+00,8.783122E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,6.038838E+00,6.865923E+04,1.114946E+05,3.005957E+00,0.000000E+00,5.697770E+00,5.633478E+04,1.058490E+05,3.005957E+00,8.783122E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,5.185755E+00,5.672833E+04,9.851958E+04,3.005957E+00,0.000000E+00,4.845561E+00,4.441702E+04,9.247472E+04,3.005957E+00,8.783122E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,3.041935E+00,2.674337E+04,6.445710E+04,3.005957E+00,0.000000E+00,3.005957E+00,1.868889E+04,6.185507E+04,1.081878E+01,6.587082E+04,3.005957E+00,0.000000E+00,0.000000E+00
04:00:00,3.005957E+00,0.000000E+00,3.005957E+00,2.539755E+04,6.279729E+04,3.005957E+00,0.000000E+00,3.005957E+00,1.784615E+04,5.908762E+04,3.005957E+00,8.783122E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,5.306305E+00,5.757369E+04,9.834114E+04,3.005957E+00,0.000000E+00,5.014774E+00,4.594320E+04,9.087971E+04,3.005957E+00,8.783122E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,5.951606E+00,6.659868E+04,1.084816E+05,3.005957E+00,0.000000E+00,5.627113E+00,5.450653E+04,1.007542E+05,3.005957E+00,8.783122E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,6.224570E+00,7.041558E+04,1.130236E+05,3.005957E+00,0.000000E+00,5.880291E+00,5.804628E+04,1.051421E+05,3.005957E+00,8.783122E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,5.277203E+00,5.716501E+04,9.890553E+04,3.005957E+00,0.000000E+00,4.933742E+00,4.480805E+04,9.073464E+04,3.005957E+00,8.783122E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,3.022733E+00,2.563213E+04,6.316871E+04,3.005957E+00,0.000000E+00,3.005957E+00,1.784615E+04,5.908762E+04,1.103768E+01,6.525621E+04,3.005957E+00,0.000000E+00,0.000000E+00
05:00:00,3.005957E+00,0.000000E+00,3.005957E+00,2.483573E+04,6.222164E+04,3.005957E+00,0.000000E+00,3.005957E+00,1.728433E+04,5.725996E+04,3.005957E+00,8.783122E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,5.389043E+00,5.816957E+04,9.892357E+04,3.005957E+00,0.000000E+00,5.095431E+00,4.651014E+04,9.004264E+04,3.005957E+00,8.783122E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,6.072963E+00,6.773502E+04,1.096178E+05,3.005957E+00,0.000000E+00,5.746669E+00,5.561802E+04,1.004102E+05,3.005957E+00,8.783122E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,6.346012E+00,7.155329E+04,1.140958E+05,3.005957E+00,0.000000E+00,6.000481E+00,5.916696E+04,1.046853E+05,3.005957E+00,8.783122E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,5.357519E+00,5.772687E+04,9.948571E+04,3.005957E+00,0.000000E+00,5.011968E+00,4.534091E+04,8.985515E+04,3.005957E+00,8.783122E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,3.019203E+00,2.502094E+04,6.251494E+04,3.005957E+00,0.000000E+00,3.005957E+00,1.728433E+04,5.725996E+04,1.123663E+01,6.474369E+04,3.005957E+00,0.000000E+00,0.000000E+00
06:00:00,3.005957E+00,0.000000E+00,3.329066E+00,2.971378E+04,6.740754E+04,3.005957E+00,0.000000E+00,3.185536E+00,2.024485E+04,6.168086E+04,3.005957E+00,8.783122E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,7.921044E+00,9.114372E+04,1.347883E+05,3.005957E+00,0.000000E+00,7.603438E+00,7.933447E+04,1.273533E+05,3.005957E+00,8.783122E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,8.853600E+00,1.036417E+05,1.487287E+05,3.005957E+00,0.000000E+00,8.503130E+00,9.138849E+04,1.409774E+05,3.630665E+00,8.515823E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,9.174431E+00,1.079417E+05,1.538602E+05,3.005957E+00,0.000000E+00,8.805091E+00,9.543421E+04,1.459233E+05,4.183491E+00,8.250080E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,7.904978E+00,9.092361E+04,1.365261E+05,3.005957E+00,0.000000E+00,7.531208E+00,7.836181E+04,1.284802E+05,3.015920E+00,8.778835E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,5.889068E+00,6.390199E+04,1.227978E+05,3.005957E+00,0.000000E+00,4.221288E+00,3.406739E+04,8.745477E+04,1.547898E+01,3.181052E+04,3.005957E+00,0.000000E+00,0.000000E+00
07:00:00,3.005957E+00,0.000000E+00,5.850562E+00,6.310793E+04,1.040751E+05,3.005957E+00,0.000000E+00,5.664111E+00,5.321097E+04,1.026190E+05,3.005957E+00,8.783122E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,1.144180E+01,1.335668E+05,1.833797E+05,3.005957E+00,0.000000E+00,1.108291E+01,1.214789E+05,1.805173E+05,3.481079E+00,8.487585E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,1.234581E+01,1.449893E+05,1.963203E+05,3.005957E+00,0.000000E+00,1.195534E+01,1.324983E+05,1.931989E+05,6.261932E+00,6.675440E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,1.263660E+01,1.486637E+05,2.009180E+05,3.005957E+00,0.000000E+00,1.222691E+01,1.359282E+05,1.976568E+05,7.092929E+00,6.139365E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,1.143784E+01,1.335087E+05,1.859370E+05,3.005957E+00,0.000000E+00,1.102141E+01,1.206936E+05,1.826994E+05,4.138631E+00,8.049120E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,9.704924E+00,1.115439E+05,1.914575E+05,3.005957E+00,0.000000E+00,7.919123E+00,8.150024E+04,1.688217E+05,1.993690E+01,0.000000E+00,3.005957E+00,0.000000E+00,0.000000E+00
08:00:00,3.005957E+00,0.000000E+00,8.664379E+00,9.829216E+04,1.481232E+05,3.005957E+00,0.000000E+00,8.447330E+00,8.819593E+04,1.581263E+05,4.164830E+00,7.860775E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,1.529221E+01,1.762120E+05,2.366934E+05,3.005957E+00,0.000000E+00,1.488919E+01,1.639004E+05,2.462370E+05,6.334603E+00,6.139914E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,1.601867E+01,1.847834E+05,2.464236E+05,3.005957E+00,0.000000E+00,1.558913E+01,1.721542E+05,2.559925E+05,7.649298E+00,5.100462E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,1.629478E+01,1.880398E+05,2.505558E+05,3.005957E+00,0.000000E+00,1.584588E+01,1.751800E+05,2.601540E+05,8.339366E+00,4.554434E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,1.532516E+01,1.765886E+05,2.396918E+05,3.005957E+00,0.000000E+00,1.485989E+01,1.635409E+05,2.492919E+05,6.955484E+00,5.650745E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,1.430851E+01,1.644176E+05,2.621102E+05,3.005957E+00,0.000000E+00,1.237547E+01,1.341106E+05,2.621197E+05,2.254024E+01,0.000000E+00,3.005957E+00,0.000000E+00,0.000000E+00
09:00:00,3.005957E+00,0.000000E+00,8.329494E+00,9.751201E+04,1.477198E+05,3.005957E+00,0.000000E+00,8.120714E+00,8.760479E+04,1.691380E+05,3.005957E+00,8.783122E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,1.549425E+01,1.783967E+05,2.377808E+05,3.005957E+00,0.000000E+00,1.508143E+01,1.661739E+05,2.595030E+05,5.844612E+00,6.438796E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,1.564450E+01,1.801033E+05,2.395996E+05,3.005957E+00,0.000000E+00,1.521078E+01,1.676425E+05,2.614554E+05,5.909790E+00,6.384799E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,1.575375E+01,1.813396E+05,2.412866E+05,3.005957E+00,0.000000E+00,1.530198E+01,1.686737E+05,2.632577E+05,6.314897E+00,6.050231E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,1.555375E+01,1.790626E+05,2.405477E+05,3.005957E+00,0.000000E+00,1.507732E+01,1.661188E+05,2.626786E+05,6.438708E+00,5.948406E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,1.489294E+01,1.715089E+05,2.628161E+05,3.005957E+00,0.000000E+00,1.293993E+01,1.418856E+05,2.811961E+05,2.068683E+01,0.000000E+00,3.005957E+00,0.000000E+00,0.000000E+00
10:00:00,3.005957E+00,0.000000E+00,8.838887E+00,1.080073E+05,1.598118E+05,3.005957E+00,0.000000E+00,8.634753E+00,9.815374E+04,1.814251E+05,3.005957E+00,8.783122E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,1.602982E+01,1.890987E+05,2.484865E+05,3.005957E+00,0.000000E+00,1.562166E+01,1.769331E+05,2.715229E+05,6.035420E+00,6.282067E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,1.604994E+01,1.893295E+05,2.490425E+05,3.005957E+00,0.000000E+00,1.562332E+01,1.769542E+05,2.724812E+05,5.815619E+00,6.463045E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,1.606403E+01,1.894887E+05,2.496040E+05,3.005957E+00,0.000000E+00,1.562056E+01,1.769223E+05,2.733195E+05,6.004645E+00,6.306948E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,1.611519E+01,1.900545E+05,2.514811E+05,3.005957E+00,0.000000E+00,1.564451E+01,1.771800E+05,2.754565E+05,6.631102E+00,5.790731E+04,3.005957E+00,0.000000E+00,0.000000E+00,3.005957E+00,0.000000E+00,1.620350E+01,1.909487E+05,2.844622E+05,3.005957E+00,0.000000E+00,1.428777E+01,1.617518E+05,3.147773E+05,2.044069E+01,0.000000E+00,3.005957E+00,0.000000E+00,0.000000E+00
