Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,0.000000E+00,2.293727E+04,0.000000E+00,1.614524E+00,0.000000E+00,5.776211E+04,0.000000E+00,4.066349E+00,5.976622E+03,6.398941E+04,2.403259E-01,4.505154E+00,1.019928E+04,6.325553E+04,4.121861E-01,4.453574E+00,0.000000E+00,5.756278E+04,0.000000E+00,4.052429E+00,2.052139E+05,3.538210E+04,8.242816E+00,2.491340E+00
02:00:00,0.000000E+00,2.304357E+04,0.000000E+00,1.621969E+00,0.000000E+00,6.261629E+04,0.000000E+00,4.407505E+00,1.559093E+04,6.885473E+04,6.278398E-01,4.846888E+00,2.277293E+04,7.096480E+04,9.170072E-01,4.995515E+00,0.000000E+00,6.235516E+04,0.000000E+00,4.389291E+00,2.098729E+05,3.686496E+04,8.427886E+00,2.595602E+00
03:00:00,0.000000E+00,2.403488E+04,0.000000E+00,1.691701E+00,0.000000E+00,6.437288E+04,0.000000E+00,4.531081E+00,2.182019E+04,7.166852E+04,8.769235E-01,5.044800E+00,3.033869E+04,7.459815E+04,1.219226E+00,5.251163E+00,4.933642E+03,6.406128E+04,1.990972E-01,4.509352E+00,2.155659E+05,3.756827E+04,8.655022E+00,2.645161E+00
04:00:00,0.000000E+00,2.393954E+04,0.000000E+00,1.684942E+00,0.000000E+00,6.555454E+04,0.000000E+00,4.614178E+00,2.653472E+04,7.352457E+04,1.066342E+00,5.175310E+00,3.539071E+04,7.689486E+04,1.422158E+00,5.412669E+00,8.310490E+03,6.519171E+04,3.340024E-01,4.588872E+00,2.199283E+05,3.733072E+04,8.830144E+00,2.628463E+00
05:00:00,0.000000E+00,2.380668E+04,0.000000E+00,1.675543E+00,2.643869E+03,6.657750E+04,1.064018E-01,4.686125E+00,2.981400E+04,7.502507E+04,1.198016E+00,5.280837E+00,3.884266E+04,7.839669E+04,1.560688E+00,5.518271E+00,1.043442E+04,6.618452E+04,4.193428E-01,4.658712E+00,2.239442E+05,3.728729E+04,8.989305E+00,2.625394E+00
06:00:00,2.534256E+04,3.969724E+04,1.078025E+00,2.894840E+00,4.915876E+04,9.391907E+04,2.068587E+00,6.887865E+00,6.850372E+04,1.049522E+05,2.904532E+00,7.698783E+00,7.876828E+04,1.087478E+05,3.346793E+00,7.977766E+00,5.710263E+04,9.372243E+04,2.412736E+00,6.873894E+00,2.883224E+05,6.984838E+04,1.238318E+01,5.120929E+00
07:00:00,4.832235E+04,6.514089E+04,2.221183E+00,5.087445E+00,6.031544E+04,1.273832E+05,2.784863E+00,9.949389E+00,1.075274E+05,1.374755E+05,5.009545E+00,1.073549E+01,1.216329E+05,1.407216E+05,5.674343E+00,1.098835E+01,7.152608E+04,1.273295E+05,3.310905E+00,9.945946E+00,3.398974E+05,1.078891E+05,1.594952E+01,8.439064E+00
08:00:00,6.633393E+04,8.984888E+04,3.331864E+00,7.534243E+00,1.005789E+05,1.586406E+05,5.067682E+00,1.329757E+01,1.213711E+05,1.662093E+05,6.119438E+00,1.392928E+01,1.322591E+05,1.690843E+05,6.671493E+00,1.416937E+01,1.104352E+05,1.589708E+05,5.564387E+00,1.332623E+01,3.570474E+05,1.481866E+05,1.803219E+01,1.244218E+01
09:00:00,4.179866E+04,8.296497E+04,2.157348E+00,7.243038E+00,9.060628E+04,1.544223E+05,4.675690E+00,1.347326E+01,9.161389E+04,1.559319E+05,4.727832E+00,1.360391E+01,9.789416E+04,1.570246E+05,5.051918E+00,1.369891E+01,9.982007E+04,1.550093E+05,5.150967E+00,1.352500E+01,3.208689E+05,1.483160E+05,1.654947E+01,1.295038E+01
10:00:00,4.283783E+04,8.800557E+04,2.210953E+00,7.685989E+00,9.357806E+04,1.596329E+05,4.828336E+00,1.393898E+01,9.016194E+04,1.598375E+05,4.652495E+00,1.395647E+01,9.309234E+04,1.599782E+05,4.803716E+00,1.396872E+01,1.028206E+05,1.604757E+05,5.304881E+00,1.401321E+01,3.171684E+05,1.612451E+05,1.635256E+01,1.409000E+01
