Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,0.000000E+00,2.293834E+04,0.000000E+00,1.614599E+00,0.000000E+00,5.888345E+04,0.000000E+00,4.145288E+00,5.976622E+03,6.420012E+04,2.403259E-01,4.519988E+00,1.019928E+04,6.328295E+04,4.121861E-01,4.455504E+00,0.000000E+00,5.868440E+04,0.000000E+00,4.131390E+00,2.052139E+05,3.551638E+04,8.242816E+00,2.500797E+00
02:00:00,0.000000E+00,2.304501E+04,0.000000E+00,1.622070E+00,0.000000E+00,6.373558E+04,0.000000E+00,4.486290E+00,1.559093E+04,6.904009E+04,6.278398E-01,4.859934E+00,2.277293E+04,7.098757E+04,9.170072E-01,4.997117E+00,0.000000E+00,6.347454E+04,0.000000E+00,4.468085E+00,2.098729E+05,3.698313E+04,8.427886E+00,2.603925E+00
03:00:00,0.000000E+00,2.403617E+04,0.000000E+00,1.691792E+00,0.000000E+00,6.543250E+04,0.000000E+00,4.605662E+00,2.182019E+04,7.182168E+04,8.769235E-01,5.055579E+00,3.033869E+04,7.461550E+04,1.219226E+00,5.252384E+00,4.933642E+03,6.512091E+04,1.990972E-01,4.583938E+00,2.155659E+05,3.766553E+04,8.655022E+00,2.652010E+00
04:00:00,0.000000E+00,2.394074E+04,0.000000E+00,1.685027E+00,0.000000E+00,6.656201E+04,0.000000E+00,4.685086E+00,2.653472E+04,7.365187E+04,1.066342E+00,5.184268E+00,3.539071E+04,7.690841E+04,1.422158E+00,5.413623E+00,8.310490E+03,6.619913E+04,3.340024E-01,4.659780E+00,2.199283E+05,3.741152E+04,8.830144E+00,2.634154E+00
05:00:00,0.000000E+00,2.380781E+04,0.000000E+00,1.675622E+00,2.643869E+03,6.753361E+04,1.064018E-01,4.753417E+00,2.981400E+04,7.513083E+04,1.198016E+00,5.288280E+00,3.884266E+04,7.840743E+04,1.560688E+00,5.519027E+00,1.043442E+04,6.714051E+04,4.193428E-01,4.726000E+00,2.239442E+05,3.735437E+04,8.989305E+00,2.630118E+00
06:00:00,2.534256E+04,0.000000E+00,1.078025E+00,0.000000E+00,4.915876E+04,1.557025E+04,2.068587E+00,9.205034E-01,6.850372E+04,2.194044E+04,2.904532E+00,1.295801E+00,7.876828E+04,2.416041E+04,3.346793E+00,1.429353E+00,5.710263E+04,1.468367E+04,2.412736E+00,8.682827E-01,2.883224E+05,0.000000E+00,1.238318E+01,0.000000E+00
07:00:00,4.832235E+04,1.090903E+05,2.221183E+00,8.093998E+00,6.031544E+04,1.010523E+05,2.784863E+00,7.269718E+00,1.075274E+05,1.274732E+05,5.009545E+00,9.307283E+00,1.216329E+05,1.372661E+05,5.674343E+00,1.006323E+01,7.152608E+04,1.004980E+05,3.310905E+00,7.228175E+00,3.398974E+05,1.037545E+05,1.594952E+01,7.722083E+00
08:00:00,6.633393E+04,1.022534E+05,3.331864E+00,8.540784E+00,1.005789E+05,1.714823E+05,5.067682E+00,1.433406E+01,1.213711E+05,1.878720E+05,6.119438E+00,1.568772E+01,1.322591E+05,1.920268E+05,6.671493E+00,1.603367E+01,1.104352E+05,1.717863E+05,5.564387E+00,1.436129E+01,3.570474E+05,1.637624E+05,1.803219E+01,1.371900E+01
09:00:00,4.179866E+04,8.854796E+04,2.157348E+00,7.729767E+00,9.060628E+04,1.661822E+05,4.675690E+00,1.449825E+01,9.161389E+04,1.683045E+05,4.727832E+00,1.468077E+01,9.789416E+04,1.741056E+05,5.051918E+00,1.518622E+01,9.982007E+04,1.667630E+05,5.150967E+00,1.454971E+01,3.208689E+05,1.570464E+05,1.654947E+01,1.371259E+01
10:00:00,4.283783E+04,8.846106E+04,2.210953E+00,7.725304E+00,9.357806E+04,1.647998E+05,4.828336E+00,1.438972E+01,9.016194E+04,1.662280E+05,4.652495E+00,1.451331E+01,9.309234E+04,1.671092E+05,4.803716E+00,1.459010E+01,1.028206E+05,1.656432E+05,5.304881E+00,1.446413E+01,3.171684E+05,1.656255E+05,1.635256E+01,1.447245E+01
