Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 10 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 10 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 10 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 10 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 7 THERMALZONE::Des Heat Load [W],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 7 THERMALZONE::Des Heat Mass Flow [kg/s],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 9 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 9 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 9 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 9 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,9.806663E+03,0.000000E+00,4.431692E-01,0.000000E+00,1.710393E+05,3.923977E+04,7.720507E+00,3.147376E+00,1.270979E+04,2.544311E+04,5.743034E-01,2.039884E+00,1.347853E+04,2.571724E+04,6.090561E-01,2.061971E+00,3.864488E+04,7.855936E+03,1.745976E+00,6.298221E-01,0.000000E+00,3.557748E+04,0.000000E+00,2.852695E+00,4.313746E+04,6.938165E+03,1.948865E+00,5.562355E-01,0.000000E+00,9.321251E+04,0.000000E+00,7.474103E+00,2.182955E+04,2.695429E+04,9.862322E-01,2.161192E+00,2.819056E+04,2.274404E+04,1.273616E+00,1.823583E+00
02:00:00,9.858462E+03,0.000000E+00,4.455101E-01,0.000000E+00,1.727605E+05,3.450319E+04,7.798196E+00,2.767391E+00,1.347716E+04,2.428251E+04,6.089725E-01,1.946828E+00,1.567408E+04,2.352871E+04,7.082435E-01,1.886481E+00,3.976407E+04,6.326703E+03,1.796565E+00,5.072175E-01,0.000000E+00,3.320777E+04,0.000000E+00,2.662653E+00,4.419914E+04,5.478126E+03,1.996865E+00,4.391813E-01,0.000000E+00,9.068915E+04,0.000000E+00,7.271711E+00,2.335812E+04,2.510542E+04,1.055294E+00,2.012941E+00,2.884311E+04,2.149558E+04,1.303099E+00,1.723479E+00
03:00:00,9.888069E+03,0.000000E+00,4.468480E-01,0.000000E+00,1.742167E+05,3.070608E+04,7.863956E+00,2.463040E+00,1.415686E+04,2.328027E+04,6.396804E-01,1.866547E+00,1.734274E+04,2.173864E+04,7.836245E-01,1.743038E+00,4.064011E+04,5.112715E+03,1.836160E+00,4.098991E-01,0.000000E+00,3.137918E+04,0.000000E+00,2.516193E+00,4.502377E+04,4.317072E+03,2.034140E+00,3.461054E-01,0.000000E+00,8.847259E+04,0.000000E+00,7.094368E+00,2.458732E+04,2.358608E+04,1.110827E+00,1.891225E+00,2.943346E+04,2.042814E+04,1.329769E+00,1.637981E+00
04:00:00,9.905690E+03,0.000000E+00,4.476444E-01,0.000000E+00,1.754550E+05,2.733486E+04,7.919878E+00,2.192571E+00,1.478297E+04,2.236367E+04,6.679673E-01,1.793061E+00,1.867570E+04,2.021282E+04,8.438394E-01,1.620695E+00,4.132738E+04,4.108672E+03,1.867220E+00,3.293988E-01,0.000000E+00,2.994193E+04,0.000000E+00,2.400966E+00,4.567510E+04,3.344063E+03,2.063576E+00,2.680951E-01,0.000000E+00,8.643543E+04,0.000000E+00,6.931131E+00,2.556019E+04,2.226818E+04,1.154774E+00,1.785557E+00,2.997067E+04,1.944438E+04,1.354034E+00,1.559105E+00
05:00:00,9.916378E+03,0.000000E+00,4.481274E-01,0.000000E+00,1.764982E+05,5.434661E+04,7.966989E+00,4.359086E+00,1.535952E+04,3.006040E+04,6.940155E-01,2.410165E+00,1.969684E+04,3.525522E+04,8.899650E-01,2.826819E+00,4.186827E+04,9.626004E+03,1.891664E+00,7.717245E-01,1.577500E+03,5.408843E+04,7.140251E-02,4.337240E+00,4.618459E+04,7.516618E+03,2.086601E+00,6.026045E-01,0.000000E+00,1.201757E+05,0.000000E+00,9.636749E+00,2.625697E+04,3.657554E+04,1.186241E+00,2.932786E+00,3.046178E+04,2.660335E+04,1.376216E+00,2.133130E+00
06:00:00,9.918038E+03,1.550755E+04,4.482025E-01,1.550475E+00,1.772162E+05,1.245199E+05,7.999408E+00,1.211850E+01,1.586712E+04,8.025796E+04,7.169492E-01,7.687390E+00,2.063943E+04,8.957183E+04,9.325460E-01,8.619625E+00,4.225531E+04,5.544055E+04,1.909153E+00,5.203772E+00,6.858859E+03,1.107236E+05,3.099553E-01,1.073207E+01,4.654044E+04,5.300243E+04,2.102681E+00,4.958598E+00,0.000000E+00,1.833965E+05,0.000000E+00,1.796176E+01,2.709138E+04,9.121676E+04,1.223926E+00,8.784176E+00,3.086431E+04,7.719755E+04,1.394397E+00,7.382081E+00
07:00:00,9.925589E+03,2.293650E+04,4.485374E-01,2.385115E+00,1.780411E+05,1.877207E+05,8.034720E+00,1.952985E+01,1.637617E+04,9.127983E+04,7.398925E-01,9.492692E+00,2.145146E+04,1.127023E+05,9.691451E-01,1.172143E+01,4.260562E+04,5.757737E+04,1.924828E+00,5.988126E+00,8.733494E+03,1.571498E+05,3.946296E-01,1.634462E+01,4.687360E+04,5.169391E+04,2.117542E+00,5.376174E+00,0.000000E+00,2.595310E+05,0.000000E+00,2.699212E+01,2.759264E+04,1.130977E+05,1.246425E+00,1.176236E+01,3.130038E+04,8.728119E+04,1.413903E+00,9.077243E+00
08:00:00,4.249991E+04,4.215644E+04,2.059638E+00,4.384219E+00,2.101806E+05,2.558779E+05,1.060115E+01,2.664582E+01,4.447202E+04,1.173131E+05,2.159874E+00,1.220227E+01,3.861099E+04,1.605925E+05,1.859352E+00,1.670795E+01,8.084589E+04,8.828944E+04,4.017212E+00,9.185121E+00,2.464002E+04,2.125770E+05,1.144452E+00,2.211851E+01,8.776216E+04,7.712673E+04,4.369110E+00,8.023394E+00,0.000000E+00,3.012717E+05,0.000000E+00,3.134161E+01,4.742821E+04,1.497641E+05,2.309655E+00,1.558046E+01,5.710946E+04,1.137919E+05,2.804252E+00,1.183752E+01
09:00:00,1.431512E+04,4.843055E+04,7.427542E-01,5.036884E+00,1.745831E+05,2.777636E+05,9.054275E+00,2.893435E+01,2.777757E+04,1.192638E+05,1.441177E+00,1.240570E+01,1.465499E+04,1.685258E+05,7.603594E-01,1.753656E+01,5.037950E+04,9.314901E+04,2.613790E+00,9.691253E+00,0.000000E+00,2.219577E+05,0.000000E+00,2.309948E+01,5.700966E+04,8.162354E+04,2.957712E+00,8.491220E+00,0.000000E+00,3.067019E+05,0.000000E+00,3.191089E+01,2.398851E+04,1.565550E+05,1.244572E+00,1.628847E+01,4.612207E+04,1.165289E+05,2.392855E+00,1.212278E+01
10:00:00,1.843355E+04,5.195386E+04,9.564284E-01,5.403025E+00,1.414530E+05,2.960387E+05,7.332579E+00,3.084308E+01,3.011271E+04,1.225710E+05,1.562121E+00,1.275000E+01,7.589590E+03,1.741000E+05,3.937670E-01,1.811952E+01,4.902689E+04,9.829486E+04,2.543352E+00,1.022590E+01,0.000000E+00,2.294227E+05,0.000000E+00,2.388146E+01,5.645813E+04,8.653317E+04,2.928701E+00,9.000746E+00,0.000000E+00,3.121917E+05,0.000000E+00,3.248796E+01,1.410465E+04,1.616040E+05,7.317231E-01,1.681487E+01,4.827505E+04,1.201239E+05,2.504000E+00,1.249670E+01
