Electricity:Facility,ElectricityProduced:Facility,Gas:Facility,DistrictCooling:Facility,DistrictHeating:Facility,District Cooling Chilled Water Rate,District Cooling Mass Flow Rate,District Cooling Inlet Temperature,District Cooling Outlet Temperature,District Heating Hot Water Rate,District Heating Mass Flow Rate,District Heating Inlet Temperature,District Heating Outlet Temperature
2317.3289277819536,0,1549.4337122756156,0,0,0,0,0,0,0,0,0,0
1468.746060050042,0,389.10709018074834,0,0,0,0,0,0,0,0,0,0
2292.601255528994,0,1667.019132631946,0,0,0,0,0,0,0,0,0,0
1804.5496161729695,0,450.38238256936467,0,0,0,0,0,0,0,0,0,0
2368.4322326721613,0,3054.522371517561,0,0,0,0,0,0,0,0,0,0
2756.7818116782373,0,3237.4561731368326,0,0,0,0,0,0,0,0,0,0
4352.456852590242,0,2865.326431496042,0,0,0,0,0,0,0,0,0,0
4614.020996177653,0,2950.8912118002972,0,0,0,0,0,0,0,0,0,0
4132.293573797101,0,2962.02045806868,0,0,0,0,0,0,0,0,0,0
4141.084351203407,0,2557.5591544842505,0,0,0,0,0,0,0,0,0,0
4198.27439426009,0,2467.514666588528,0,0,0,0,0,0,0,0,0,0
4152.090328093671,0,2466.842928128613,0,0,0,0,0,0,0,0,0,0
4241.690676624658,0,2111.0176648165893,0,0,0,0,0,0,0,0,0,0
4223.509236193962,0,2025.929870252773,0,0,0,0,0,0,0,0,0,0
4305.010300789642,0,1924.1792042349643,0,0,0,0,0,0,0,0,0,0
4222.656678266694,0,2022.4471177675107,0,0,0,0,0,0,0,0,0,0
4289.460212772143,0,2004.5325730831914,0,0,0,0,0,0,0,0,0,0
4857.711666291847,0,1939.055813867322,0,0,0,0,0,0,0,0,0,0
3036.014842193738,0,2055.3631566232816,0,0,0,0,0,0,0,0,0,0
2982.236196425863,0,2157.8339616567664,0,0,0,0,0,0,0,0,0,0
1908.7600140460102,0,2792.788925101433,0,0,0,0,0,0,0,0,0,0
2007.4981514612039,0,2986.3411659562025,0,0,0,0,0,0,0,0,0,0
2308.6995182507303,0,1230.7980822841314,0,0,0,0,0,0,0,0,0,0
1241.2396757721804,0,130.18418579345322,0,0,0,0,0,0,0,0,0,0
2307.029694448748,0,1587.4610331399333,0,0,0,0,0,0,0,0,0,0
1498.217409685504,0,468.83932110805006,0,0,0,0,0,0,0,0,0,0
2247.8926365753873,0,1925.6010554767,0,0,0,0,0,0,0,0,0,0
1661.7001260320253,0,589.3805903865222,0,0,0,0,0,0,0,0,0,0
2387.738923410887,0,3447.020031446849,0,0,0,0,0,0,0,0,0,0
2777.5748789010995,0,4134.769314767784,0,0,0,0,0,0,0,0,0,0
4132.578866808736,0,3312.009514575546,0,0,0,0,0,0,0,0,0,0
4634.2745929337225,0,3565.7136406509326,0,0,0,0,0,0,0,0,0,0
4131.393477559874,0,3221.0788709404933,0,0,0,0,0,0,0,0,0,0
4138.380666841571,0,3011.2135019584207,0,0,0,0,0,0,0,0,0,0
4155.438477636844,0,2875.8466756136245,0,0,0,0,0,0,0,0,0,0
4149.214205615182,0,2459.2186255321235,0,0,0,0,0,0,0,0,0,0
4217.455504889376,0,2317.2088858499537,0,0,0,0,0,0,0,0,0,0
4163.203527177266,0,2361.84914334745,0,0,0,0,0,0,0,0,0,0
4243.0019386566555,0,2166.542948909881,0,0,0,0,0,0,0,0,0,0
4183.810008613666,0,2131.9481995319184,0,0,0,0,0,0,0,0,0,0
4241.963163760128,0,2197.9900122589324,0,0,0,0,0,0,0,0,0,0
4822.89339528188,0,2158.432896649666,0,0,0,0,0,0,0,0,0,0
3039.7454276351573,0,1952.5420264679124,0,0,0,0,0,0,0,0,0,0
2982.5151662013136,0,2319.789853975914,0,0,0,0,0,0,0,0,0,0
1909.0512555982118,0,2928.9705099997536,0,0,0,0,0,0,0,0,0,0
2007.9952045106238,0,3247.388366716923,0,0,0,0,0,0,0,0,0,0
2327.5088374036286,0,1046.1547352193707,0,0,0,0,0,0,0,0,0,0
