Time,1 ZONE VAV:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 1:Des Heat Cap [W],1 ZONE VAV:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 2:Des Heat Cap [W],1 ZONE VAV:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 3:Des Heat Cap [W],1 ZONE VAV:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 3:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 1:Des Heat Cap [W],1 ZONE VAV 1:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 2:Des Heat Cap [W],1 ZONE VAV 1:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 3:Des Heat Cap [W],1 ZONE VAV 1:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 3:Des Tot Cool Cap [W]
01:00:00,2.055289E+00,0.000000E+00,1.016615E+01,1.107408E+05,1.434050E+05,2.055289E+00,0.000000E+00,9.865529E+00,1.021871E+05,1.422249E+05,3.567437E+00,4.756061E+04,2.055289E+00,0.000000E+00,0.000000E+00,1.414029E+01,0.000000E+00,7.417822E+01,8.094255E+05,1.031361E+06,1.414029E+01,0.000000E+00,7.350786E+01,7.662955E+05,1.040712E+06,1.414029E+01,4.131660E+05,1.414029E+01,0.000000E+00,0.000000E+00
02:00:00,2.055289E+00,0.000000E+00,1.010084E+01,1.092360E+05,1.418754E+05,2.055289E+00,0.000000E+00,9.796738E+00,1.006432E+05,1.387632E+05,3.567437E+00,4.756061E+04,2.055289E+00,0.000000E+00,0.000000E+00,1.414029E+01,0.000000E+00,7.397568E+01,8.018555E+05,1.023694E+06,1.414029E+01,0.000000E+00,7.330393E+01,7.587191E+05,1.019636E+06,1.414029E+01,4.131660E+05,1.414029E+01,0.000000E+00,0.000000E+00
03:00:00,2.055289E+00,0.000000E+00,1.004535E+01,1.080341E+05,1.406553E+05,2.055289E+00,0.000000E+00,9.739047E+00,9.941664E+04,1.361202E+05,3.567437E+00,4.756062E+04,2.055289E+00,0.000000E+00,0.000000E+00,1.414029E+01,0.000000E+00,7.381924E+01,7.961268E+05,1.017887E+06,1.414029E+01,0.000000E+00,7.314634E+01,7.529862E+05,1.003998E+06,1.414029E+01,4.131660E+05,1.414029E+01,0.000000E+00,0.000000E+00
04:00:00,2.055289E+00,0.000000E+00,9.992278E+00,1.068594E+05,1.394618E+05,2.055289E+00,0.000000E+00,9.683623E+00,9.821558E+04,1.335420E+05,3.567437E+00,4.756062E+04,2.055289E+00,0.000000E+00,0.000000E+00,1.414029E+01,0.000000E+00,7.368200E+01,7.906148E+05,1.012283E+06,1.414029E+01,0.000000E+00,7.300809E+01,7.474702E+05,9.889184E+05,1.414029E+01,4.131660E+05,1.414029E+01,0.000000E+00,0.000000E+00
05:00:00,2.055289E+00,0.000000E+00,9.946579E+00,1.059600E+05,1.385500E+05,2.055289E+00,0.000000E+00,9.636684E+00,9.730225E+04,1.317168E+05,3.567437E+00,4.756062E+04,2.055289E+00,0.000000E+00,0.000000E+00,1.414029E+01,0.000000E+00,7.357532E+01,7.867689E+05,1.008381E+06,1.414029E+01,0.000000E+00,7.290063E+01,7.436213E+05,9.786459E+05,1.414029E+01,4.131660E+05,1.414029E+01,0.000000E+00,0.000000E+00
06:00:00,2.055289E+00,0.000000E+00,1.055429E+01,1.131964E+05,1.463648E+05,2.055289E+00,0.000000E+00,1.024602E+01,1.045570E+05,1.404012E+05,3.567437E+00,4.756062E+04,2.055289E+00,0.000000E+00,0.000000E+00,1.414029E+01,0.000000E+00,7.441071E+01,7.988277E+05,1.021186E+06,1.414029E+01,0.000000E+00,7.372906E+01,7.556062E+05,9.969524E+05,1.414029E+01,4.131660E+05,1.414029E+01,0.000000E+00,0.000000E+00
07:00:00,2.055289E+00,0.000000E+00,1.186449E+01,1.293135E+05,1.635445E+05,2.055289E+00,0.000000E+00,1.153075E+01,1.203870E+05,1.603805E+05,3.567437E+00,4.756062E+04,2.055289E+00,0.000000E+00,0.000000E+00,1.414029E+01,0.000000E+00,7.615110E+01,8.276929E+05,1.051228E+06,1.414029E+01,0.000000E+00,7.546266E+01,7.843985E+05,1.048331E+06,1.414029E+01,4.131660E+05,1.414029E+01,0.000000E+00,0.000000E+00
08:00:00,2.055289E+00,0.000000E+00,1.310821E+01,1.466013E+05,1.814829E+05,2.055289E+00,0.000000E+00,1.276139E+01,1.375272E+05,1.862126E+05,3.567437E+00,4.756062E+04,2.055289E+00,0.000000E+00,0.000000E+00,1.414029E+01,0.000000E+00,7.789430E+01,8.698039E+05,1.094256E+06,1.414029E+01,0.000000E+00,7.720449E+01,8.264948E+05,1.147273E+06,1.414029E+01,4.131660E+05,1.414029E+01,0.000000E+00,0.000000E+00
09:00:00,2.055289E+00,0.000000E+00,1.400208E+01,1.603291E+05,1.952744E+05,2.055289E+00,0.000000E+00,1.364928E+01,1.511875E+05,2.077925E+05,3.567437E+00,4.756062E+04,2.055289E+00,0.000000E+00,0.000000E+00,1.414029E+01,0.000000E+00,7.933416E+01,9.111406E+05,1.136205E+06,1.414029E+01,0.000000E+00,7.864384E+01,8.678218E+05,1.244835E+06,1.414029E+01,4.131660E+05,1.414029E+01,0.000000E+00,0.000000E+00
10:00:00,2.055289E+00,0.000000E+00,1.444686E+01,1.686101E+05,2.032801E+05,2.055289E+00,0.000000E+00,1.408949E+01,1.594167E+05,2.159675E+05,3.567437E+00,4.756062E+04,2.055289E+00,0.000000E+00,0.000000E+00,1.414029E+01,0.000000E+00,8.023328E+01,9.437414E+05,1.169117E+06,1.414029E+01,0.000000E+00,7.954256E+01,9.004045E+05,1.280692E+06,1.414029E+01,4.131660E+05,1.414029E+01,0.000000E+00,0.000000E+00
11:00:00,2.055289E+00,0.000000E+00,1.440272E+01,1.709945E+05,2.052750E+05,2.055289E+00,0.000000E+00,1.404445E+01,1.617905E+05,2.180616E+05,3.567437E+00,4.756062E+04,2.055289E+00,0.000000E+00,0.000000E+00,1.414029E+01,0.000000E+00,8.049742E+01,9.665433E+05,1.191979E+06,1.414029E+01,0.000000E+00,7.980847E+01,9.232069E+05,1.303997E+06,1.414029E+01,4.131660E+05,1.414029E+01,0.000000E+00,0.000000E+00
12:00:00,2.055289E+00,0.000000E+00,1.401713E+01,1.685685E+05,2.024887E+05,2.055289E+00,0.000000E+00,1.366149E+01,1.593938E+05,2.153036E+05,3.567437E+00,4.756062E+04,2.055289E+00,0.000000E+00,0.000000E+00,1.414029E+01,0.000000E+00,8.026715E+01,9.771656E+05,1.202480E+06,1.414029E+01,0.000000E+00,7.958124E+01,9.338517E+05,1.314236E+06,1.414029E+01,4.131660E+05,1.414029E+01,0.000000E+00,0.000000E+00
13:00:00,2.055289E+00,0.000000E+00,1.394041E+01,1.692407E+05,2.032009E+05,2.055289E+00,0.000000E+00,1.358399E+01,1.600572E+05,2.159997E+05,3.567437E+00,4.756062E+04,2.055289E+00,0.000000E+00,0.000000E+00,1.414029E+01,0.000000E+00,8.030752E+01,9.881952E+05,1.213775E+06,1.414029E+01,0.000000E+00,7.962200E+01,9.448807E+05,1.325503E+06,1.414029E+01,4.131660E+05,1.414029E+01,0.000000E+00,0.000000E+00
